Beta; Sigmoid; HyperbolicTangens; Sinusoida; Cosinusoidal; Function001
0,00999999977648258; 0; 0; 0; 0; 0
0,0599999986588955; 0; 0; 0; 0; 0
0,109999999403954; 0; 0; 1; 1; 0
0,159999996423721; 0; 0; 0; 0; 0
0,209999993443489; 0; 0; 0; 0; 0
0,259999990463257; 0; 0; 0; 0; 0
0,310000002384186; 0; 0; 1; 0; 0
0,360000014305115; 0; 0; 0; 0; 0
0,409999996423721; 0; 0; 1; 1; 0
0,46000000834465; 0; 1; 0; 0; 1
0,509999990463257; 3; 1; 1; 1; 1
0,560000002384186; 2; 2; 1; 1; 2
0,610000014305115; 2; 3; 2; 6; 4
0,660000026226044; 0; 4; 1; 2; 1
0,709999978542328; 6; 1; 3; 2; 2
0,759999990463257; 4; 1; 4; 3; 3
0,810000002384186; 4; 1; 1; 6; 4
0,860000014305115; 8; 6; 3; 1; 19
