Beta; Sigmoid; HyperbolicTangens; Sinusoida; Cosinusoidal; Function001
0,00999999977648258; 2; 3; 1; 3; 2
0,0599999986588955; 2; 2; 2; 3; 2
0,109999999403954; 3; 3; 2; 2; 1
0,159999996423721; 4; 3; 0; 1; 1
0,209999993443489; 1; 1; 3; 2; 5
0,259999990463257; 4; 2; 4; 2; 2
0,310000002384186; 2; 2; 1; 0; 3
0,360000014305115; 3; 1; 3; 2; 4
0,409999996423721; 2; 3; 2; 5; 2
0,46000000834465; 3; 4; 4; 1; 5
0,509999990463257; 7; 5; 6; 5; 4
0,560000002384186; 6; 6; 5; 7; 8
0,610000014305115; 9; 7; 9; 9; 3
0,660000026226044; 8; 7; 6; 6; 7
0,709999978542328; 7; 8; 7; 6; 11
0,759999990463257; 9; 8; 12; 6; 10
0,810000002384186; 5; 8; 10; 13; 6
0,860000014305115; 12; 9; 10; 8; 20
