Beta; Sigmoid; HyperbolicTangens; Sinusoida; Cosinusoidal; Function001
0,00999999977648258; 138; 117; 163; 125; 100
0,0599999986588955; 20; 20; 18; 19; 18
0,109999999403954; 14; 15; 14; 14; 13
0,159999996423721; 10; 12; 10; 11; 10
0,209999993443489; 6; 7; 9; 9; 8
0,259999990463257; 5; 4; 5; 5; 4
0,310000002384186; 4; 3; 4; 4; 4
0,360000014305115; 4; 3; 4; 4; 5
0,409999996423721; 6; 7; 5; 6; 3
0,46000000834465; 7; 6; 4; 4; 5
0,509999990463257; 14; 9; 9; 10; 8
0,560000002384186; 17; 26; 13; 37; 14
0,610000014305115; 54; 45; 74; 20; 24
0,660000026226044; 19; 54; 44; 48; 37
0,709999978542328; 254; 82; 240; 98; 550
0,759999990463257; 172; 213; 226; 479; 193
0,810000002384186; 1001; 261; 387; 1001; 603
0,860000014305115; 1001; 1001; 1001; 532; 1001
