Beta; Sigmoid; HyperbolicTangens; Sinusoida; Cosinusoidal; Function001
0,00999999977648258; 4; 3; 4; 2; 4
0,0599999986588955; 2; 3; 2; 3; 3
0,109999999403954; 3; 1; 1; 3; 2
0,159999996423721; 0; 2; 1; 2; 1
0,209999993443489; 0; 1; 1; 1; 1
0,259999990463257; 1; 0; 1; 1; 0
0,310000002384186; 1; 0; 1; 1; 1
0,360000014305115; 1; 0; 1; 1; 2
0,409999996423721; 2; 3; 0; 2; 2
0,46000000834465; 0; 4; 1; 1; 2
0,509999990463257; 5; 2; 4; 1; 3
0,560000002384186; 3; 2; 0; 2; 3
0,610000014305115; 3; 5; 6; 4; 5
0,660000026226044; 2; 5; 6; 7; 6
0,709999978542328; 9; 4; 7; 4; 4
0,759999990463257; 7; 2; 6; 6; 7
0,810000002384186; 3; 2; 6; 4; 9
0,860000014305115; 11; 8; 5; 3; 18
