           Func;            Sigmoid;  HyperbolicTangens;          Sinusoida;       Cosinusoidal;        Function001
           Test;               0/26;               0/26;               0/26;               0/26;               0/26
       level2_1;               1/26;               0/26;               1/26;               2/26;               3/26
       level2_2;               2/26;               4/26;               3/26;               4/26;               7/26
       level3_1;               1/26;               1/26;               0/26;               0/26;               1/26
       level3_2;               1/26;               1/26;               1/26;               0/26;               0/26
       level4_1;               0/26;               0/26;               0/26;               0/26;               0/26
       level4_2;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_1;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_2;               1/26;               1/26;               0/26;               0/26;               0/26
       level5_3;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_4;               0/26;               0/26;               0/26;               0/26;               0/26
 Iteration;              Sigmoid;    HyperbolicTangens;            Sinusoida;         Cosinusoidal;          Function001
         1;   0,0299321720861299;   0,0298283345727116;   0,0304100136566848;   0,0315563277139394;    0,032036057336138
         2;   0,0194989231071628;   0,0187563815261449;     0,01980257847731;   0,0207546988666523;   0,0226438956626143
         3;   0,0137719865326642;   0,0128506562469838;   0,0136495955423739;   0,0144551096077994;   0,0159053156556649
         4;   0,0106862730872173;  0,00932611500132837;    0,010477745059775;   0,0111341279209858;   0,0113077478654128
         5;  0,00863669431710342;                    0;  0,00862078870060101;  0,00915063117042392;  0,00862724446872075
