           Func;            Sigmoid;  HyperbolicTangens;          Sinusoida;       Cosinusoidal;        Function001
           Test;               0/26;               0/26;               1/26;               0/26;               0/26
       level2_1;               9/26;              10/26;               5/26;               4/26;              10/26
       level2_2;              12/26;              14/26;               4/26;              10/26;              11/26
       level3_1;               3/26;               2/26;               4/26;               1/26;               5/26
       level3_2;               4/26;               4/26;               3/26;               3/26;               2/26
       level4_1;               1/26;               2/26;               2/26;               1/26;               0/26
       level4_2;               2/26;               8/26;               7/26;               2/26;               4/26
       level5_1;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_2;               0/26;               3/26;               1/26;               0/26;               1/26
       level5_3;               5/26;               2/26;               1/26;               0/26;               1/26
       level5_4;               1/26;               0/26;               0/26;               0/26;               0/26
 Iteration;              Sigmoid;    HyperbolicTangens;            Sinusoida;         Cosinusoidal;          Function001
         1;   0,0419832930781639;   0,0419771293207443;   0,0417631383317578;   0,0415828545554626;   0,0412778654440086
         2;   0,0419890863411134;   0,0419673328854022;   0,0413674659539329;   0,0434102486039314;   0,0452294969195906
         3;   0,0413219542763573;   0,0405976562229497;   0,0385587406231011;   0,0421258350441212;   0,0438297973214055
         4;   0,0413568505393361;   0,0426893875894002;   0,0449955698615612;   0,0383838265220117;   0,0460777262354376
         5;   0,0481596424760431;   0,0466668258253813;   0,0428573403214791;   0,0387189098570437;   0,0486713686512196
         6;   0,0488961563416872;   0,0450991914188032;    0,039945245538503;   0,0377080384688693;   0,0475536206257289
         7;   0,0446705870946249;    0,043213758587512;    0,037333781486224;   0,0384282300495909;   0,0486041191596474
         8;   0,0429318685030216;    0,041154096584438;   0,0364010550648493;   0,0366758786486388;   0,0415611204745883
         9;   0,0463351226507023;   0,0475307221660373;   0,0324754453324823;   0,0398740772687526;   0,0355234244761323
        10;   0,0430335015758032;   0,0433753410394988;   0,0298304047140194;   0,0316224662284478;   0,0341769076455208
        11;   0,0404428388616788;   0,0400016385609601;   0,0263147917725553;   0,0278241771208007;   0,0300931778975655
        12;   0,0399075009809566;   0,0360798467451927;   0,0232599552442763;    0,023545104926264;   0,0256309908827769
        13;    0,038408041134406;   0,0325921469883197;   0,0233909527967223;   0,0220813495865568;   0,0231653666758046
        14;   0,0367005806629338;   0,0343328980420999;   0,0206165057827164;   0,0117619779964016;   0,0189183944909544
        15;   0,0304776285799611;   0,0286927239428968;   0,0151572091771774;   0,0131045530269017;   0,0138498639433629
        16;   0,0280691729933623;   0,0224604314906291;   0,0154788053330473;  0,00510842567278217;   0,0171926038402769
        17;   0,0270534694086626;   0,0194311199879267;  0,00884730534156583;                    0;    0,006283502875467
        18;   0,0258895961106084;   0,0127463777163176;                    0;                    0;                    0
        19;   0,0268706036571223;   0,0125479359130489;                    0;                    0;                    0
        20;   0,0251963448538602;   0,0161418296825103;                    0;                    0;                    0
        21;   0,0269689211203384;  0,00730004580149554;                    0;                    0;                    0
        22;   0,0259542333086767;                    0;                    0;                    0;                    0
        23;   0,0277771414168757;                    0;                    0;                    0;                    0
        24;    0,026517394134159;                    0;                    0;                    0;                    0
        25;   0,0269828152385309;                    0;                    0;                    0;                    0
        26;   0,0259170728640211;                    0;                    0;                    0;                    0
        27;   0,0347665468222853;                    0;                    0;                    0;                    0
        28;   0,0260998438705564;                    0;                    0;                    0;                    0
        29;   0,0240823647312555;                    0;                    0;                    0;                    0
        30;   0,0156468061168267;                    0;                    0;                    0;                    0
        31;    0,014214736481602;                    0;                    0;                    0;                    0
        32;   0,0134339342717358;                    0;                    0;                    0;                    0
        33;     0,01593117521466;                    0;                    0;                    0;                    0
        34;   0,0112700756538591;                    0;                    0;                    0;                    0
        35;  0,00679969144248027;                    0;                    0;                    0;                    0
