Beta; Sigmoid; HyperbolicTangens; Sinusoida; Cosinusoidal; Function001
0,00999999977648258; 130; 133; 200; 132; 130
0,0599999986588955; 23; 18; 18; 18; 18
0,109999999403954; 14; 14; 16; 13; 14
0,159999996423721; 12; 13; 11; 10; 14
0,209999993443489; 6; 6; 6; 7; 6
0,259999990463257; 5; 4; 5; 5; 4
0,310000002384186; 4; 3; 4; 4; 4
0,360000014305115; 4; 3; 4; 3; 4
0,409999996423721; 4; 4; 4; 4; 4
0,46000000834465; 7; 4; 8; 4; 6
0,509999990463257; 1001; 12; 10; 17; 8
0,560000002384186; 12; 16; 13; 17; 16
0,610000014305115; 21; 23; 32; 32; 33
0,660000026226044; 65; 57; 150; 50; 26
0,709999978542328; 228; 1001; 62; 245; 98
0,759999990463257; 285; 306; 186; 398; 821
0,810000002384186; 419; 396; 1001; 1001; 384
0,860000014305115; 1001; 1001; 1001; 1001; 1001
