Beta; Sigmoid; HyperbolicTangens; Sinusoida; Cosinusoidal; Function001
0,00999999977648258; 3; 3; 2; 3; 2
0,0599999986588955; 2; 1; 3; 2; 3
0,109999999403954; 0; 1; 2; 1; 3
0,159999996423721; 1; 3; 1; 3; 2
0,209999993443489; 1; 1; 1; 1; 1
0,259999990463257; 0; 1; 1; 1; 0
0,310000002384186; 0; 0; 1; 2; 0
0,360000014305115; 1; 1; 0; 3; 1
0,409999996423721; 1; 0; 1; 0; 1
0,46000000834465; 3; 3; 2; 2; 3
0,509999990463257; 3; 3; 1; 1; 1
0,560000002384186; 4; 6; 3; 3; 6
0,610000014305115; 3; 1; 4; 4; 7
0,660000026226044; 7; 6; 5; 3; 6
0,709999978542328; 4; 4; 6; 10; 10
0,759999990463257; 5; 7; 7; 5; 7
0,810000002384186; 6; 8; 7; 8; 9
0,860000014305115; 11; 13; 9; 23; 12
