Beta; Sigmoid; HyperbolicTangens; Sinusoida; Cosinusoidal; Function001
0,00999999977648258; 4; 8; 9; 4; 6
0,0599999986588955; 4; 5; 5; 4; 5
0,109999999403954; 2; 3; 3; 8; 7
0,159999996423721; 4; 6; 3; 5; 1
0,209999993443489; 2; 4; 3; 5; 5
0,259999990463257; 5; 1; 4; 1; 5
0,310000002384186; 3; 3; 6; 2; 5
0,360000014305115; 3; 2; 6; 1; 4
0,409999996423721; 5; 8; 5; 4; 5
0,46000000834465; 3; 5; 7; 7; 7
0,509999990463257; 11; 7; 7; 9; 9
0,560000002384186; 10; 15; 8; 12; 9
0,610000014305115; 12; 7; 15; 11; 8
0,660000026226044; 13; 15; 12; 14; 13
0,709999978542328; 13; 12; 12; 16; 14
0,759999990463257; 14; 13; 15; 12; 12
0,810000002384186; 14; 12; 7; 17; 10
0,860000014305115; 12; 15; 17; 23; 17
