Beta; Sigmoid; HyperbolicTangens; Sinusoida; Cosinusoidal; Function001
0,00999999977648258; 2; 2; 2; 5; 5
0,0599999986588955; 1; 3; 1; 3; 2
0,109999999403954; 2; 1; 2; 2; 3
0,159999996423721; 1; 3; 0; 3; 3
0,209999993443489; 1; 2; 2; 3; 1
0,259999990463257; 3; 1; 2; 4; 1
0,310000002384186; 1; 2; 0; 2; 2
0,360000014305115; 4; 3; 2; 2; 4
0,409999996423721; 2; 1; 3; 1; 2
0,46000000834465; 3; 3; 4; 1; 2
0,509999990463257; 5; 3; 6; 7; 2
0,560000002384186; 6; 6; 5; 6; 6
0,610000014305115; 6; 10; 11; 3; 12
0,660000026226044; 6; 5; 8; 10; 9
0,709999978542328; 3; 8; 10; 5; 4
0,759999990463257; 6; 5; 8; 5; 6
0,810000002384186; 10; 7; 10; 10; 7
0,860000014305115; 11; 12; 23; 3; 11
