Beta; Sigmoid; HyperbolicTangens; Sinusoida; Cosinusoidal; Function001
0,00999999977648258; 2; 2; 1; 1; 3
0,0599999986588955; 1; 1; 1; 1; 2
0,109999999403954; 1; 0; 2; 0; 1
0,159999996423721; 1; 1; 0; 1; 3
0,209999993443489; 0; 2; 1; 1; 1
0,259999990463257; 2; 0; 1; 1; 0
0,310000002384186; 0; 0; 2; 0; 1
0,360000014305115; 0; 2; 2; 1; 3
0,409999996423721; 2; 3; 1; 0; 2
0,46000000834465; 5; 2; 2; 1; 4
0,509999990463257; 3; 1; 3; 3; 2
0,560000002384186; 2; 6; 3; 3; 0
0,610000014305115; 6; 5; 2; 2; 8
0,660000026226044; 6; 4; 3; 3; 4
0,709999978542328; 4; 3; 4; 4; 3
0,759999990463257; 4; 4; 5; 6; 4
0,810000002384186; 7; 4; 8; 5; 3
0,860000014305115; 4; 12; 22; 3; 13
