Beta; Sigmoid; HyperbolicTangens; Sinusoida; Cosinusoidal; Function001
0,00999999977648258; 1001; 148; 115; 109; 145
0,0599999986588955; 19; 19; 21; 20; 18
0,109999999403954; 12; 12; 12; 15; 14
0,159999996423721; 10; 10; 9; 10; 15
0,209999993443489; 6; 7; 9; 8; 6
0,259999990463257; 5; 4; 4; 5; 4
0,310000002384186; 4; 4; 4; 4; 3
0,360000014305115; 4; 4; 4; 4; 4
0,409999996423721; 4; 5; 4; 4; 4
0,46000000834465; 5; 5; 12; 5; 6
0,509999990463257; 6; 7; 5; 8; 7
0,560000002384186; 14; 14; 14; 26; 9
0,610000014305115; 23; 13; 54; 28; 44
0,660000026226044; 48; 106; 34; 66; 1001
0,709999978542328; 1001; 148; 124; 138; 223
0,759999990463257; 928; 1001; 1001; 91; 210
0,810000002384186; 1001; 166; 911; 1001; 353
0,860000014305115; 1001; 1001; 1001; 997; 1001
