           Func;            Sigmoid;  HyperbolicTangens;          Sinusoida;       Cosinusoidal;        Function001
           Test;               0/26;               0/26;               0/26;               0/26;               0/26
       level2_1;               2/26;               3/26;               2/26;               0/26;               2/26
       level2_2;               5/26;               7/26;               6/26;               7/26;               4/26
       level3_1;               1/26;               0/26;               0/26;               1/26;               2/26
       level3_2;               1/26;               2/26;               2/26;               1/26;               1/26
       level4_1;               0/26;               1/26;               0/26;               0/26;               1/26
       level4_2;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_1;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_2;               0/26;               0/26;               1/26;               0/26;               1/26
       level5_3;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_4;               0/26;               0/26;               0/26;               0/26;               0/26
 Iteration;              Sigmoid;    HyperbolicTangens;            Sinusoida;         Cosinusoidal;          Function001
         1;   0,0369066697347596;   0,0369403115099218;   0,0370048451925808;   0,0362685979970278;   0,0364363841542042
         2;   0,0334691105669582;   0,0337906123850248;   0,0341952859280083;    0,032415668837307;   0,0323357149344722
         3;   0,0279113459599067;   0,0291526457418881;   0,0286214304526166;   0,0276637174306687;   0,0273350579879516
         4;   0,0217452089548049;   0,0250917518181132;   0,0229427433213388;   0,0237072556731643;    0,022776701346645
         5;   0,0163867428288276;   0,0213812686266818;   0,0183571844983641;    0,019521228466106;   0,0192729289429281
         6;   0,0128048354790651;   0,0182881548508641;   0,0150236303533239;     0,01577425076539;    0,016604484956607
         7;   0,0105803990281808;   0,0160267883852425;   0,0125835710598587;   0,0127319791702474;   0,0143464537953149
         8;  0,00905976979326606;    0,014215624430756;   0,0107112183329761;   0,0106193782151501;   0,0123665533188668
         9;                    0;   0,0127775262557741;  0,00924917020656704;  0,00917463877840074;   0,0107375207400369
        10;                    0;   0,0115696194799773;                    0;                    0;  0,00945089359273877
        11;                    0;   0,0102723991435288;                    0;                    0;                    0
        12;                    0;   0,0086938410109345;                    0;                    0;                    0
