Beta; Sigmoid; HyperbolicTangens; Sinusoida; Cosinusoidal; Function001
0,00999999977648258; 3; 3; 4; 2; 1
0,0599999986588955; 1; 2; 2; 0; 1
0,109999999403954; 3; 2; 2; 0; 3
0,159999996423721; 5; 4; 0; 2; 2
0,209999993443489; 1; 1; 1; 4; 2
0,259999990463257; 1; 2; 2; 2; 4
0,310000002384186; 4; 2; 3; 1; 2
0,360000014305115; 3; 1; 2; 1; 1
0,409999996423721; 1; 5; 2; 5; 3
0,46000000834465; 7; 3; 3; 1; 3
0,509999990463257; 5; 9; 5; 5; 6
0,560000002384186; 10; 5; 4; 12; 5
0,610000014305115; 8; 4; 13; 12; 6
0,660000026226044; 9; 5; 5; 9; 10
0,709999978542328; 4; 7; 8; 6; 4
0,759999990463257; 12; 4; 9; 5; 8
0,810000002384186; 8; 6; 5; 9; 7
0,860000014305115; 9; 13; 12; 6; 8
