Beta; Sigmoid; HyperbolicTangens; Sinusoida; Cosinusoidal; Function001
0,00999999977648258; 119; 152; 189; 200; 106
0,0599999986588955; 20; 22; 20; 18; 18
0,109999999403954; 15; 16; 12; 15; 12
0,159999996423721; 12; 10; 11; 10; 10
0,209999993443489; 7; 7; 7; 6; 7
0,259999990463257; 5; 5; 4; 4; 4
0,310000002384186; 4; 4; 4; 4; 4
0,360000014305115; 4; 4; 3; 4; 4
0,409999996423721; 4; 5; 4; 4; 6
0,46000000834465; 5; 4; 6; 8; 4
0,509999990463257; 7; 18; 27; 8; 10
0,560000002384186; 1001; 16; 12; 21; 25
0,610000014305115; 62; 22; 23; 45; 37
0,660000026226044; 52; 41; 127; 29; 1001
0,709999978542328; 49; 82; 73; 55; 78
0,759999990463257; 1001; 1001; 1001; 310; 1001
0,810000002384186; 1001; 365; 169; 1001; 264
0,860000014305115; 322; 1001; 1001; 845; 1001
