Beta; Sigmoid; HyperbolicTangens; Sinusoida; Cosinusoidal; Function001
0,00999999977648258; 3; 2; 1; 1; 1
0,0599999986588955; 0; 1; 1; 1; 1
0,109999999403954; 2; 0; 0; 0; 1
0,159999996423721; 1; 1; 2; 0; 1
0,209999993443489; 2; 0; 1; 1; 1
0,259999990463257; 1; 0; 2; 1; 0
0,310000002384186; 0; 0; 0; 0; 1
0,360000014305115; 1; 2; 1; 1; 0
0,409999996423721; 2; 1; 0; 2; 1
0,46000000834465; 5; 2; 3; 3; 1
0,509999990463257; 2; 4; 4; 3; 2
0,560000002384186; 4; 2; 2; 6; 5
0,610000014305115; 6; 4; 5; 10; 2
0,660000026226044; 3; 5; 4; 7; 6
0,709999978542328; 3; 4; 3; 10; 7
0,759999990463257; 4; 7; 10; 5; 4
0,810000002384186; 6; 5; 4; 8; 8
0,860000014305115; 6; 10; 12; 4; 3
