Beta; Sigmoid; HyperbolicTangens; Sinusoida; Cosinusoidal; Function001
0,00999999977648258; 5; 7; 7; 6; 7
0,0599999986588955; 3; 3; 4; 4; 3
0,109999999403954; 6; 3; 2; 5; 6
0,159999996423721; 3; 6; 3; 5; 4
0,209999993443489; 4; 2; 3; 3; 4
0,259999990463257; 6; 3; 4; 4; 4
0,310000002384186; 4; 2; 4; 3; 3
0,360000014305115; 3; 2; 6; 4; 3
0,409999996423721; 5; 4; 5; 5; 6
0,46000000834465; 4; 10; 13; 8; 4
0,509999990463257; 5; 9; 9; 12; 9
0,560000002384186; 11; 9; 6; 9; 12
0,610000014305115; 13; 8; 15; 12; 10
0,660000026226044; 13; 14; 12; 8; 15
0,709999978542328; 14; 10; 14; 9; 13
0,759999990463257; 13; 12; 15; 14; 11
0,810000002384186; 10; 7; 11; 17; 11
0,860000014305115; 6; 14; 12; 14; 13
