Beta; Sigmoid; HyperbolicTangens; Sinusoida; Cosinusoidal; Function001
0,00999999977648258; 184; 170; 1001; 160; 157
0,0599999986588955; 21; 22; 24; 21; 21
0,109999999403954; 17; 16; 13; 14; 13
0,159999996423721; 14; 9; 17; 13; 11
0,209999993443489; 6; 7; 6; 6; 5
0,259999990463257; 4; 5; 4; 4; 6
0,310000002384186; 3; 4; 3; 4; 5
0,360000014305115; 3; 4; 4; 3; 3
0,409999996423721; 4; 4; 4; 4; 4
0,46000000834465; 7; 4; 6; 5; 7
0,509999990463257; 8; 8; 10; 10; 9
0,560000002384186; 11; 9; 18; 20; 12
0,610000014305115; 21; 13; 28; 28; 26
0,660000026226044; 41; 45; 77; 1001; 255
0,709999978542328; 65; 84; 72; 181; 61
0,759999990463257; 159; 335; 1001; 146; 1001
0,810000002384186; 761; 990; 687; 1001; 1001
0,860000014305115; 570; 583; 1001; 1001; 1001
