Beta; Sigmoid; HyperbolicTangens; Sinusoida; Cosinusoidal; Function001
0,00999999977648258; 1; 3; 4; 2; 2
0,0599999986588955; 1; 1; 1; 2; 1
0,109999999403954; 0; 1; 1; 1; 1
0,159999996423721; 2; 0; 3; 3; 0
0,209999993443489; 1; 1; 2; 0; 2
0,259999990463257; 1; 1; 0; 1; 1
0,310000002384186; 0; 1; 0; 1; 1
0,360000014305115; 0; 1; 1; 2; 2
0,409999996423721; 2; 0; 1; 0; 2
0,46000000834465; 1; 0; 1; 2; 2
0,509999990463257; 4; 2; 3; 2; 2
0,560000002384186; 7; 3; 2; 4; 2
0,610000014305115; 4; 5; 5; 1; 2
0,660000026226044; 2; 1; 4; 4; 4
0,709999978542328; 3; 7; 2; 5; 10
0,759999990463257; 4; 3; 6; 8; 7
0,810000002384186; 6; 4; 7; 5; 10
0,860000014305115; 10; 5; 22; 10; 11
