           Func;            Sigmoid;  HyperbolicTangens;          Sinusoida;       Cosinusoidal;        Function001
           Test;               1/26;               0/26;               0/26;               0/26;               0/26
       level2_1;               4/26;               5/26;               6/26;               7/26;               6/26
       level2_2;               9/26;              12/26;               6/26;               9/26;               9/26
       level3_1;               1/26;               4/26;               3/26;               4/26;               2/26
       level3_2;               2/26;               2/26;               0/26;               1/26;               3/26
       level4_1;               2/26;               1/26;               0/26;               2/26;               0/26
       level4_2;               2/26;               0/26;               2/26;               3/26;               0/26
       level5_1;               1/26;               0/26;               0/26;               0/26;               0/26
       level5_2;               1/26;               1/26;               1/26;               1/26;               0/26
       level5_3;               2/26;               1/26;               0/26;               1/26;               0/26
       level5_4;               3/26;               0/26;               0/26;               0/26;               0/26
 Iteration;              Sigmoid;    HyperbolicTangens;            Sinusoida;         Cosinusoidal;          Function001
         1;   0,0407507458597477;   0,0404743152569396;   0,0393081301291184;   0,0407872150374425;   0,0397768814211834
         2;   0,0388004230496923;   0,0401062022616377;   0,0368155406629005;   0,0410321946293026;   0,0338581411738879
         3;   0,0281729502855914;   0,0399177775600968;   0,0242955234635512;   0,0355349375684996;   0,0254281083871152
         4;   0,0184307750702479;   0,0317723829451672;    0,015522702662063;   0,0299395453136747;   0,0129206166716654
         5;   0,0155432328963522;   0,0308103081101188;   0,0113664584579461;    0,023837192841737;  0,00854958265213903
         6;  0,00991178734680284;   0,0201953794192587;  0,00724491124384214;   0,0207416079364852;                    0
         7;                    0;   0,0131598909876621;                    0;   0,0199275979277587;                    0
         8;                    0;  0,00639448509128022;                    0;   0,0179278036538899;                    0
         9;                    0;                    0;                    0;   0,0146557825600443;                    0
        10;                    0;                    0;                    0;    0,010907249232027;                    0
        11;                    0;                    0;                    0;  0,00776594314869107;                    0
