           Func;            Sigmoid;  HyperbolicTangens;          Sinusoida;       Cosinusoidal;        Function001
           Test;               1/26;               0/26;               0/26;               0/26;               0/26
       level2_1;               1/26;               3/26;               3/26;               2/26;               2/26
       level2_2;               4/26;               4/26;               3/26;               5/26;               6/26
       level3_1;               3/26;               1/26;               2/26;               0/26;               2/26
       level3_2;               0/26;               1/26;               1/26;               2/26;               2/26
       level4_1;               0/26;               0/26;               0/26;               1/26;               0/26
       level4_2;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_1;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_2;               0/26;               1/26;               1/26;               1/26;               1/26
       level5_3;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_4;               0/26;               0/26;               0/26;               0/26;               0/26
 Iteration;              Sigmoid;    HyperbolicTangens;            Sinusoida;         Cosinusoidal;          Function001
         1;   0,0361337262644102;    0,030112066182463;   0,0332912541567881;   0,0367904373507631;   0,0345106744937311
         2;   0,0225202820108098;   0,0155970718184684;   0,0203048415376871;   0,0286266028677227;    0,024119765002436
         3;   0,0121966936473145;  0,00897585800902983;   0,0108442929059201;   0,0192917998335947;    0,014322087541875
         4;  0,00988924433206929;                    0;  0,00705849435985853;   0,0112942336597385;   0,0110949516883039
         5;                    0;                    0;                    0;  0,00715290766566458;  0,00880043863845098
