           Func;            Sigmoid;  HyperbolicTangens;          Sinusoida;       Cosinusoidal;        Function001
           Test;               0/26;               0/26;               0/26;               0/26;               0/26
       level2_1;               2/26;               2/26;               3/26;               2/26;               2/26
       level2_2;               4/26;               5/26;               5/26;               4/26;               5/26
       level3_1;               1/26;               1/26;               1/26;               1/26;               1/26
       level3_2;               2/26;               1/26;               3/26;               2/26;               3/26
       level4_1;               0/26;               0/26;               0/26;               0/26;               0/26
       level4_2;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_1;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_2;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_3;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_4;               0/26;               0/26;               0/26;               0/26;               0/26
 Iteration;              Sigmoid;    HyperbolicTangens;            Sinusoida;         Cosinusoidal;          Function001
         1;   0,0376806528482776;   0,0376840048703004;   0,0377113718188921;   0,0376716983522051;    0,037678777587665
         2;     0,03754693694174;   0,0372765827652124;   0,0375131802863945;   0,0372484948742323;   0,0372132202851355
         3;   0,0370274198435575;   0,0363908479694329;   0,0368930718967865;   0,0359778328609057;   0,0362682391759674
         4;   0,0361204853724983;   0,0349306908205036;   0,0357416418974517;   0,0340413896473503;   0,0349142071193837
         5;   0,0348171199155672;   0,0326433566230837;    0,033956540264378;   0,0318344867770448;   0,0329318553454359
         6;   0,0330418618045792;   0,0298445305354412;   0,0315831933757152;   0,0294451450764725;   0,0304838377009288
         7;   0,0308304156626999;   0,0269608593741152;   0,0287964340457547;     0,02709240714301;   0,0280232598016013
         8;   0,0284265514105046;   0,0240909071185989;   0,0259814444073062;   0,0247814828294695;   0,0255551946363006
         9;   0,0260364732641511;   0,0215739120909461;   0,0233463632101662;   0,0224489611114985;   0,0230520519576392
        10;   0,0237308471749436;   0,0194641684661669;   0,0208722727023104;   0,0201335043247224;   0,0205909064103114
        11;   0,0215916655288531;   0,0177106639638019;   0,0186286138663214;   0,0179872593867848;   0,0183250449447378
        12;   0,0196421179459764;   0,0162006292660917;   0,0166657019360944;   0,0161703184867117;   0,0163799770249167
        13;   0,0179197902686397;   0,0147749136293197;   0,0149895431422646;   0,0146490965444526;   0,0147436873301694
        14;   0,0164530306612753;   0,0133439313422125;   0,0135721875854719;   0,0133520223355804;   0,0133510066238215
        15;   0,0152192708070142;   0,0120478959651989;   0,0123786991242198;   0,0122287622410395;   0,0121704423891662
        16;    0,014171797457551;   0,0109883974993776;   0,0113679438115458;   0,0112496022267358;   0,0111834247111592
        17;   0,0132641805673254;    0,010136029022802;   0,0105113374981551;   0,0103856225424715;    0,010360732464032
        18;   0,0124650682405369;  0,00943704056605198;  0,00978658813901931;  0,00961342966760744;  0,00967215830725539
        19;   0,0117588743238281;                    0;                    0;                    0;                    0
        20;   0,0111385203890843;                    0;                    0;                    0;                    0
        21;   0,0105983497728636;                    0;                    0;                    0;                    0
        22;   0,0101314889371913;                    0;                    0;                    0;                    0
        23;  0,00972842165111758;                    0;                    0;                    0;                    0
