           Func;            Sigmoid;  HyperbolicTangens;          Sinusoida;       Cosinusoidal;        Function001
           Test;              25/26;              25/26;              25/26;              25/26;              25/26
       level3_1;              25/26;              25/26;              25/26;              25/26;              25/26
       level3_2;              25/26;              25/26;              25/26;              25/26;              25/26
       level4_1;              25/26;              25/26;              25/26;              25/26;              25/26
       level4_2;              25/26;              25/26;              25/26;              25/26;              25/26
       level5_1;              25/26;              25/26;              25/26;              25/26;              25/26
       level5_2;              25/26;              25/26;              25/26;              25/26;              25/26
       level5_3;              25/26;              25/26;              25/26;              25/26;              25/26
       level5_4;              25/26;              25/26;              25/26;              25/26;              25/26
 Iteration;              Sigmoid;    HyperbolicTangens;            Sinusoida;         Cosinusoidal;          Function001
         1;   0,0508924446144288;   0,0563861663274429;   0,0513834177716525;   0,0508450137312736;   0,0509878541136083
         2;   0,0505573436641116;   0,0579655112141174;   0,0514307877370819;   0,0503332370957938;   0,0508448448946355
         3;   0,0514061801187577;   0,0512655937152848;    0,051513496262788;    0,051216202003339;   0,0503275880534057
         4;   0,0514847019885324;   0,0512755706249275;   0,0516853613765978;   0,0512138365711832;   0,0513417204054693
         5;   0,0515903768376947;   0,0512890504760857;   0,0510380087159229;   0,0512046078412947;   0,0513801628774978
         6;   0,0471296137270838;    0,051303579388212;   0,0509326255325104;   0,0511979206495976;   0,0514337788846627
         7;   0,0511420595175573;   0,0513251416159678;   0,0507076299914953;   0,0512164171795872;   0,0515190859733849
         8;   0,0511099701105699;   0,0513519524789804;   0,0429826288859115;   0,0513505529868012;   0,0516995595078787
         9;   0,0510697317104358;   0,0513942056702054;   0,0514668397136958;   0,0511267917248904;   0,0513934878442925
        10;   0,0510403550434599;    0,051454005493319;   0,0515988913417249;   0,0510873815941183;   0,0514310490105986
        11;   0,0507963249824247;    0,051556058184555;   0,0508683331067857;   0,0510321316332171;    0,051515519773061
        12;    0,049915716669657;   0,0517416659553589;    0,051016869523668;   0,0509190192073567;    0,051703665480663
        13;    0,051353923108187;   0,0515338144808659;   0,0509017905820368;   0,0506544216376328;   0,0511255487350081
        14;   0,0513948016369904;   0,0517195852045999;   0,0505971960971035;   0,0508955344030147;   0,0510671339238924
        15;   0,0514546855894641;   0,0516718012200175;   0,0512211043973884;   0,0505707336772005;   0,0509932076030459
        16;   0,0517272230972545;   0,0511298664644428;      0,0512185413385;   0,0496023293605293;   0,0508530695331058
        17;   0,0518411374800621;   0,0510910745819059;   0,0512162365930402;   0,0503897536021672;   0,0544503254622467
        18;   0,0510077130680951;   0,0510319040359312;   0,0512064129160022;   0,0507936230420152;    0,051180031025108
        19;   0,0508881990282398;   0,0509299424072371;   0,0512140363193947;    0,049890270331218;   0,0511633630200303
        20;   0,0505250222556155;   0,0506880761178988;   0,0511848873469397;   0,0514443272955669;   0,0511432454905365
        21;   0,0514058716182363;   0,0418525704566921;   0,0511694303730337;   0,0515392866772316;   0,0511084636271344
        22;    0,051472482786952;   0,0509421570177141;   0,0511502164183089;   0,0517435145512265;   0,0510616373918277
        23;   0,0515930788406867;   0,0506488002860713;   0,0511624751484818;   0,0513818533083098;    0,051023371669532
        24;   0,0436728046616117;   0,0513366535206755;    0,051059079198329;   0,0514208510977912;   0,0507936675430689
        25;   0,0512988892905924;    0,051372217696624;   0,0509797087704626;   0,0514964360413557;   0,0498999947388145
        26;     0,05099143491731;   0,0514188001173354;   0,0508223768877671;   0,0516433096290941;   0,0514430025036628
        27;    0,050847103935309;   0,0514923138157386;    0,050941921019312;   0,0510528400839881;   0,0515362103793034
        28;   0,0503383336958474;   0,0516347920217111;   0,0513165133661643;   0,0509596777803387;   0,0517381703554981
        29;   0,0510381676398596;   0,0514684275252215;   0,0513426895505625;   0,0508432776487198;   0,0512074452406559
        30;   0,0509412800722084;   0,0515835906407959;   0,0513792924960822;   0,0460269611024703;   0,0512007245002494
        31;   0,0507209472877508;   0,0502895696593983;   0,0514318828322289;   0,0463025347056301;   0,0511874094839892
        32;   0,0473690883781472;   0,0512279790433685;    0,051515268335471;    0,051411071712362;   0,0511748509696723
        33;   0,0508854941858602;    0,051225389726597;   0,0516894781476977;    0,051480257334758;   0,0511635946539278
        34;   0,0505242653362865;   0,0512322406608958;   0,0513912460707549;    0,051610858436557;   0,0565183605700182
        35;   0,0514254789996499;     0,05121884497126;   0,0508964320547214;   0,0513209342639537;    0,051069579668308
        36;   0,0514790419565677;   0,0512156490269865;   0,0505764992352967;   0,0516646903000033;   0,0509975146815615
        37;   0,0516069420237104;   0,0512178675628256;   0,0508381681256094;   0,0514644940563506;    0,050860912490752
        38;   0,0409181817286504;   0,0511901919384625;   0,0502782465740804;   0,0515587168431956;   0,0504192205958216
        39;   0,0509400368455478;   0,0511758602343376;   0,0498358004125122;    0,051741057498734;   0,0511154242795611
        40;   0,0507284478842947;   0,0511568081980066;   0,0509252828437209;   0,0510904016339914;   0,0510653558616877
        41;   0,0473918519247007;   0,0511479338535312;   0,0507566681771515;    0,051049645476538;   0,0509897803654167
        42;   0,0472134810255242;   0,0510915640783039;    0,051402448101404;    0,050947071944131;   0,0508433889252299
        43;    0,048850843417878;   0,0510328394213988;   0,0514673633970126;   0,0506850396801651;   0,0502983102685766
        44;   0,0484387961278012;   0,0509325311140815;   0,0515838706541993;   0,0418113380332198;   0,0505518314065111
        45;   0,0511952787146957;   0,0506943622280153;   0,0505312095718077;   0,0508514144868602;   0,0560870596297971
        46;   0,0511697080103049;    0,043504184917685;   0,0510378116049947;   0,0503657662937844;   0,0511522488696603
        47;   0,0511323793353827;   0,0514295154848997;   0,0509419360619569;   0,0513955517138563;   0,0511245985893204
        48;   0,0510950146937146;   0,0515111002539294;   0,0507279499441006;   0,0514558421373231;   0,0510866113526559
        49;   0,0510382798520283;   0,0516769780693808;   0,0477720937692429;   0,0515599899154431;   0,0510989275729947
        50;   0,0509434270979576;   0,0517533005075544;   0,0508018199879255;   0,0517259444703708;   0,0508876545735966
        51;   0,0507289985431814;   0,0509934576963914;   0,0499545891979639;   0,0514184794547644;   0,0505768404205972
        52;   0,0481186687112624;   0,0508528850173454;   0,0506231815200167;   0,0515008789484787;   0,0421200116072733
        53;   0,0514482878920864;   0,0505012336244372;   0,0471101509230575;   0,0516380834609546;   0,0457690762106799
        54;   0,0515420937533916;   0,0514299802913618;   0,0504049355517737;   0,0512674001475572;   0,0489768187323559
        55;   0,0517496273714541;   0,0515077997490731;   0,0513720560791235;   0,0512824544948029;   0,0514427845235111
        56;   0,0513714431555634;   0,0516741944310671;   0,0512295078931801;   0,0517038409055837;   0,0515360869881995
        57;   0,0514191522454593;   0,0513823544652582;   0,0512289725899656;   0,0512980306902188;   0,0517359981277635
        58;   0,0514920457900505;   0,0514120275206916;   0,0512305559029063;    0,051317556170481;   0,0511323664396847
        59;   0,0516350344317147;   0,0514884553075234;   0,0512245982476288;   0,0513440619225347;   0,0510899846597331
        60;    0,051428316896123;   0,0516158371070228;   0,0512257315745201;   0,0513802467357359;   0,0509935191683471
        61;   0,0514881881619456;     0,05169953118048;   0,0512167593349564;   0,0514326662011901;   0,0508407968925296
        62;    0,051627103984317;   0,0511060959614275;   0,0512140384746428;   0,0515166213912331;   0,0503517513421268
        63;   0,0510240678952502;   0,0516981571131561;   0,0512033451669444;   0,0516907573793033;   0,0508881220549627
        64;   0,0509159317987294;   0,0508623028641906;   0,0511932913645494;   0,0510747670472877;    0,049443891175884
        65;   0,0506452992403694;   0,0504560260632899;   0,0511798011607626;   0,0510075620971236;   0,0514420041559573
        66;   0,0514069016002809;   0,0495315821696822;   0,0511615061512192;   0,0509161611801483;   0,0515338494531227
        67;   0,0514740835985847;   0,0504000387770799;   0,0511366845823411;   0,0504355422586002;   0,0517250080229193
        68;   0,0515989569486459;   0,0446780611709915;   0,0511018458625395;   0,0514177095874858;   0,0514476730005708
        69;   0,0411401232806678;   0,0501965901498629;   0,0510615050895494;   0,0514921384867654;   0,0515445024137008
        70;   0,0511515378347653;   0,0510529194082523;   0,0509640634491009;   0,0516358779408017;   0,0517501647993031
        71;   0,0511237433144042;   0,0509640519101739;   0,0507839830672055;   0,0514365481333144;   0,0511115059657358
        72;   0,0510804515236831;   0,0507851116562701;   0,0496521987334953;   0,0515252272222253;   0,0510427271703546
        73;   0,0510157988837349;   0,0497467797846715;    0,051320399099233;   0,0517090483313314;   0,0509631231057484
        74;   0,0509112278141197;   0,0413159793443161;   0,0512923262232439;   0,0517477715208188;    0,050738891948064
        75;   0,0505867833737439;   0,0507188807892348;   0,0513108697333418;   0,0411028781450652;   0,0483705528485419
        76;   0,0511964803968188;   0,0472206490036748;   0,0513380459225651;   0,0511162791214897;   0,0522727974568025
        77;   0,0511735827016583;   0,0508775164984989;   0,0514088655185434;   0,0510942628321298;   0,0513786637972428
        78;   0,0511633451624649;    0,050443737628058;   0,0514150839231628;   0,0512571084448991;   0,0514312606860947
        79;   0,0511064395489424;     0,05127721365822;   0,0514921561123792;   0,0509288970357372;   0,0515196432131099
        80;   0,0510649711093675;   0,0512906349780407;   0,0516058840506313;   0,0515906121941061;   0,0516860299276812
        81;   0,0509934802071042;   0,0513234678981093;   0,0488164879776437;   0,0513956530629891;   0,0509973479999644
        82;    0,050855165341571;   0,0513311551160684;   0,0518094861716402;   0,0514626656299024;   0,0508608380456981
        83;   0,0503630541716486;   0,0513773951129436;   0,0512590027040821;   0,0515753246245914;   0,0504188993096981
        84;   0,0495417688262063;   0,0519274306816917;   0,0512418845297792;   0,0515028695751239;   0,0510559409025991
        85;   0,0422532706153099;    0,051478310993814;   0,0512446144846572;   0,0510843117899732;   0,0509898568160129
        86;   0,0512986156625897;   0,0516040818719408;   0,0512540954573822;    0,051021325672838;   0,0508070382117438
        87;   0,0513077192095797;   0,0410338619258158;   0,0512436849145634;   0,0509097399054146;   0,0500109591385524
        88;   0,0513299380565185;   0,0510342292730224;   0,0512643374225285;   0,0506250180184489;   0,0514709339067931
        89;   0,0513608728320013;   0,0509469475364675;   0,0519895474595343;   0,0504655126911268;   0,0515041335318916
        90;    0,051404632931606;   0,0507489785784492;   0,0512647599419209;   0,0511880496118478;    0,051663063737384
        91;    0,051472240873953;   0,0474992569829017;   0,0512749030380218;   0,0511633542136813;   0,0510960474365182
        92;   0,0516178391170075;   0,0513892864425403;   0,0512865686746494;   0,0511429134247773;    0,051039922877115
        93;   0,0513270947427119;   0,0514484873178631;   0,0513030442576329;   0,0512593849363227;   0,0509451071299925
        94;   0,0517162683228083;   0,0515427718267616;   0,0513265160739112;   0,0510569406168708;   0,0507321230573845
        95;   0,0517647463498496;   0,0517477936719034;   0,0513573275454994;   0,0509654642257795;   0,0481609151104474
        96;   0,0572811568275042;   0,0517460959983875;   0,0514079683362476;   0,0507305103750431;   0,0514590778015444
        97;   0,0511726373889598;   0,0411023489121241;   0,0514605486085797;   0,0478543420958266;   0,0515650999788045
        98;   0,0510378054781074;   0,0511269783781952;    0,051584094462643;   0,0512551939986689;   0,0516824422478397
        99;   0,0509413079991791;   0,0510874893657548;    0,051761540479505;   0,0510021108556032;   0,0509637463149511
       100;   0,0507252580928063;   0,0510282787075977;   0,0574112963124382;   0,0508716671441329;     0,05078204642261
       101;   0,0463105543553131;   0,0509358042024114;   0,0512695224722039;   0,0504733190815336;   0,0497248737969875
       102;   0,0507846214734191;   0,0506676913490158;   0,0512789468311749;   0,0514120558818336;   0,0509788695266556
       103;   0,0505935356710709;   0,0456056813977437;   0,0513712006842923;   0,0514813277810908;   0,0508177129910048
       104;   0,0504282274441578;   0,0511083055871743;    0,051303238831202;   0,0516246956015701;   0,0501240526824155
       105;   0,0508475227146016;    0,051079671696416;   0,0513250176009966;   0,0420942773157865;   0,0511503809463978
