           Func;            Sigmoid;  HyperbolicTangens;          Sinusoida;       Cosinusoidal;        Function001
           Test;               1/26;               0/26;               0/26;               0/26;               0/26
       level3_1;               3/26;               3/26;               0/26;               3/26;               6/26
       level3_2;               2/26;               4/26;               1/26;               2/26;               2/26
       level4_1;               2/26;               2/26;               1/26;               2/26;               0/26
       level4_2;               1/26;               0/26;               1/26;               1/26;               0/26
       level5_1;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_2;               1/26;               1/26;               0/26;               1/26;               1/26
       level5_3;               0/26;               0/26;               1/26;               0/26;               1/26
       level5_4;               0/26;               0/26;               0/26;               0/26;               0/26
 Iteration;              Sigmoid;    HyperbolicTangens;            Sinusoida;         Cosinusoidal;          Function001
         1;   0,0406169789078949;   0,0420635850685781;   0,0415762602907768;   0,0395145368545281;   0,0401555267388103
         2;   0,0417089355592375;     0,04178698761648;   0,0367732391132087;   0,0363030101423999;   0,0402920575852685
         3;   0,0407141336149178;   0,0399126527532622;    0,030229337901692;   0,0297261288151911;   0,0381027840201575
         4;   0,0359829061052472;   0,0389330816962326;   0,0216313596974275;   0,0189993750733517;   0,0302069638443041
         5;   0,0244727780551282;   0,0321970452608768;   0,0119695788411545;   0,0141500798896011;   0,0236749978571351
         6;   0,0166343350705702;   0,0249549443398844;   0,0159444782492061;   0,0129349680588385;    0,020039011518263
         7;   0,0149120749281086;   0,0225781742549584;  0,00670166262247218;   0,0167800024697661;   0,0146272158453186
         8;   0,0139429760353498;   0,0124983790856293;                    0;  0,00663829911613947;  0,00874251863213118
         9;   0,0122438158625011;  0,00984389499215988;                    0;                    0;                    0
        10;   0,0105830238535964;                    0;                    0;                    0;                    0
        11;  0,00853604864404514;                    0;                    0;                    0;                    0
