           Func;            Sigmoid;  HyperbolicTangens;          Sinusoida;       Cosinusoidal;        Function001
           Test;               1/26;               0/26;               0/26;               0/26;               0/26
       level3_1;               0/26;               0/26;               0/26;               1/26;               1/26
       level3_2;               2/26;               1/26;               2/26;               2/26;               1/26
       level4_1;               0/26;               0/26;               1/26;               0/26;               0/26
       level4_2;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_1;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_2;               0/26;               1/26;               0/26;               0/26;               1/26
       level5_3;               0/26;               0/26;               1/26;               0/26;               0/26
       level5_4;               0/26;               0/26;               0/26;               0/26;               0/26
 Iteration;              Sigmoid;    HyperbolicTangens;            Sinusoida;         Cosinusoidal;          Function001
         1;   0,0369945535363941;   0,0362732820318225;    0,036258513943806;   0,0366572676230426;    0,036521662273101
         2;   0,0346796916027821;   0,0325472464310801;   0,0325619823759144;   0,0334568708278198;   0,0331574488772464
         3;   0,0299771414425759;   0,0283133478638467;   0,0280591109967486;   0,0288067104220318;   0,0287268633528622
         4;   0,0253760622727673;   0,0242923923027479;   0,0237306642306443;   0,0246258892286586;    0,024763927970646
         5;   0,0211773845447227;   0,0204223737051191;   0,0205201185106471;   0,0207436945264713;   0,0211191522942452
         6;   0,0177094319063053;   0,0174000233026269;   0,0180580090275445;   0,0171858054042504;   0,0180823619999852
         7;   0,0149536292203239;   0,0150636499045018;    0,016066781223256;   0,0142330677855025;   0,0158442502281874
         8;   0,0128359149519296;   0,0131619580136886;   0,0143776183247654;   0,0120461651176713;   0,0141835081388647
         9;   0,0112928555878219;   0,0116295788279638;   0,0128596017256465;   0,0105876046160756;   0,0127497077978788
        10;   0,0101719535771917;   0,0103564767629056;   0,0115111085998501;  0,00960250453778739;   0,0113292212349314
        11;  0,00936403011901098;  0,00927149082267216;   0,0103037913398658;                    0;   0,0100069219863036
        12;                    0;                    0;  0,00922881328551956;                    0;   0,0088725591914124
