           Func;            Sigmoid;  HyperbolicTangens;          Sinusoida;       Cosinusoidal;        Function001
           Test;              24/26;              25/26;              25/26;              24/26;              25/26
       level3_1;              24/26;              25/26;              25/26;              24/26;              25/26
       level3_2;              24/26;              25/26;              25/26;              24/26;              25/26
       level4_1;              24/26;              25/26;              25/26;              24/26;              25/26
       level4_2;              24/26;              25/26;              25/26;              24/26;              25/26
       level5_1;              24/26;              25/26;              25/26;              24/26;              25/26
       level5_2;              24/26;              25/26;              25/26;              24/26;              25/26
       level5_3;              24/26;              25/26;              25/26;              24/26;              25/26
       level5_4;              24/26;              25/26;              25/26;              24/26;              25/26
 Iteration;              Sigmoid;    HyperbolicTangens;            Sinusoida;         Cosinusoidal;          Function001
         1;    0,047751059355692;   0,0475318324322006;   0,0475757811114366;   0,0498384144622331;   0,0476565910361181
         2;   0,0485823597990438;   0,0485245329152675;   0,0485499759898205;   0,0494300512993244;   0,0485601497720087
         3;   0,0488934103960935;    0,048871136580459;    0,048883683756846;   0,0492356716158539;   0,0488860100201402
         4;   0,0490093450855336;   0,0490001062633563;   0,0490057603322452;   0,0491495541754071;   0,0490065118114978
         5;   0,0490548466831423;   0,0490509942055431;   0,0490534367232249;   0,0491127639636324;   0,0490537123078955
         6;   0,0490732648049664;   0,0490716638496066;    0,049072705006701;   0,0490973008550193;   0,0490728064729215
         7;   0,0490808302740788;   0,0490801683362672;   0,0490806152346584;   0,0490908463094698;   0,0490806479318528
         8;   0,0490839579655816;   0,0490836868184429;   0,0490838847433875;    0,049088159837013;    0,049083889448658
         9;   0,0490852545498033;   0,0490851458618138;   0,0490852400018987;    0,049087043035758;   0,0490852331738908
        10;   0,0490857926649684;   0,0490857514826676;   0,0490858024512338;   0,0490865790049588;    0,049085790847245
        11;    0,049086016102019;   0,0490860029653765;   0,0490860359918671;   0,0490863862467236;   0,0490860224056765
        12;   0,0490861088951009;   0,0490861074104545;   0,0490861329832515;   0,0490863061885124;   0,0490861185732826
        13;   0,0490861474338231;   0,0490861507912761;   0,0490861732683626;   0,0490862729457721;   0,0490861585155247
        14;   0,0490861634389305;   0,0490861688098132;    0,049086190001569;   0,0490862591491592;   0,0490861751056065
        15;   0,0490861700846312;   0,0490861762940084;   0,0490861969524291;   0,0490862534298883;   0,0490861819963224
        16;   0,0490861728427922;   0,0490861794026417;   0,0490861998400798;   0,0490862510656893;   0,0490861848583044
        17;   0,0490861739862022;   0,0490861806938216;   0,0490862010400151;   0,0490862500950897;   0,0490861860468953
        18;   0,0490861744588954;   0,0490861812300933;     0,04908620153893;   0,0490862497033638;   0,0490861865404169
        19;   0,0490861746529914;   0,0490861814528017;   0,0490862017466639;   0,0490862495521045;   0,0490861867452304
        20;   0,0490861747313636;   0,0490861815452664;   0,0490862018334509;     0,04908624950075;   0,0490861868301241
        21;   0,0490861747616642;   0,0490861815836322;   0,0490862018700005;   0,0490862494909161;   0,0490861868652072
        22;   0,0490861747719937;   0,0490861815995271;   0,0490862018856832;   0,0490862494983523;   0,0490861868796005
        23;   0,0490861747740241;   0,0490861816060883;   0,0490862018926986;   0,0490862495129858;      0,0490861868854
        24;   0,0490861747726036;   0,0490861816087727;   0,0490862018961138;   0,0490862495306328;     0,04908618688763
        25;    0,049086174769746;   0,0490861816098467;   0,0490862018980338;   0,0490862495495556;    0,049086186888377
        26;   0,0490861747662877;   0,0490861816102517;   0,0490862018993328;   0,0490862495690324;   0,0490861868885083
        27;   0,0490861747625761;    0,049086181610379;   0,0490862019003739;   0,0490862495887633;   0,0490861868883837
        28;   0,0490861747587555;   0,0490861816103909;   0,0490862019013079;   0,0490862496086241;   0,0490861868881528
        29;   0,0490861747548859;   0,0490861816103548;   0,0490862019021976;   0,0490862496285629;   0,0490861868878776
        30;   0,0490861747509921;   0,0490861816102987;   0,0490862019030689;   0,0490862496485584;   0,0490861868875841
        31;   0,0490861747470845;   0,0490861816102344;   0,0490862019039327;   0,0490862496686018;   0,0490861868872829
        32;   0,0490861747431673;   0,0490861816101667;   0,0490862019047934;   0,0490862496886892;   0,0490861868869785
        33;   0,0490861747392422;   0,0490861816100975;   0,0490862019056529;   0,0490862497088194;   0,0490861868866727
        34;   0,0490861747353101;   0,0490861816100276;   0,0490862019065119;   0,0490862497289917;   0,0490861868863664
        35;   0,0490861747313712;   0,0490861816099576;   0,0490862019073709;   0,0490862497492059;   0,0490861868860597
        36;   0,0490861747274257;   0,0490861816098873;   0,0490862019082299;   0,0490862497694619;   0,0490861868857529
        37;   0,0490861747234734;   0,0490861816098171;    0,049086201909089;   0,0490862497897598;    0,049086186885446
        38;   0,0490861747195146;   0,0490861816097468;   0,0490862019099481;   0,0490862498100997;    0,049086186885139
        39;   0,0490861747155491;   0,0490861816096765;   0,0490862019108075;   0,0490862498304815;    0,049086186884832
        40;   0,0490861747115768;   0,0490861816096062;   0,0490862019116669;   0,0490862498509053;   0,0490861868845249
        41;    0,049086174707598;   0,0490861816095359;   0,0490862019125265;   0,0490862498713713;   0,0490861868842178
        42;   0,0490861747036124;   0,0490861816094656;   0,0490862019133862;   0,0490862498918794;   0,0490861868839106
        43;   0,0490861746996201;   0,0490861816093952;    0,049086201914246;   0,0490862499124298;   0,0490861868836033
        44;   0,0490861746956211;   0,0490861816093249;   0,0490862019151059;   0,0490862499330225;    0,049086186883296
        45;   0,0490861746916153;   0,0490861816092545;    0,049086201915966;   0,0490862499536575;   0,0490861868829886
        46;   0,0490861746876028;   0,0490861816091841;   0,0490862019168262;   0,0490862499743349;   0,0490861868826812
        47;   0,0490861746835834;   0,0490861816091137;   0,0490862019176865;   0,0490862499950549;   0,0490861868823737
        48;   0,0490861746795573;   0,0490861816090433;   0,0490862019185469;   0,0490862500158173;   0,0490861868820662
        49;   0,0490861746755243;   0,0490861816089728;   0,0490862019194075;   0,0490862500366225;   0,0490861868817586
        50;   0,0490861746714845;   0,0490861816089023;   0,0490862019202682;   0,0490862500574703;    0,049086186881451
        51;   0,0490861746674378;   0,0490861816088319;    0,049086201921129;   0,0490862500783608;   0,0490861868811432
        52;   0,0490861746633842;   0,0490861816087615;     0,04908620192199;   0,0490862500992942;   0,0490861868808355
        53;   0,0490861746593237;    0,049086181608691;   0,0490862019228511;   0,0490862501202705;   0,0490861868805277
        54;   0,0490861746552563;   0,0490861816086205;   0,0490862019237122;   0,0490862501412897;   0,0490861868802198
        55;   0,0490861746511819;   0,0490861816085499;   0,0490862019245736;    0,049086250162352;   0,0490861868799119
        56;   0,0490861746471006;   0,0490861816084794;   0,0490862019254351;   0,0490862501834573;   0,0490861868796039
        57;   0,0490861746430123;   0,0490861816084089;   0,0490862019262966;   0,0490862502046058;   0,0490861868792959
        58;    0,049086174638917;   0,0490861816083383;   0,0490862019271583;   0,0490862502257976;   0,0490861868789877
        59;   0,0490861746348146;   0,0490861816082678;   0,0490862019280202;   0,0490862502470326;   0,0490861868786796
        60;   0,0490861746307052;   0,0490861816081972;   0,0490862019288821;   0,0490862502683111;   0,0490861868783714
        61;   0,0490861746265888;   0,0490861816081266;   0,0490862019297442;   0,0490862502896329;   0,0490861868780632
        62;   0,0490861746224653;    0,049086181608056;   0,0490862019306064;   0,0490862503109982;   0,0490861868777548
        63;   0,0490861746183347;   0,0490861816079853;   0,0490862019314688;   0,0490862503324071;   0,0490861868774464
        64;   0,0490861746141969;   0,0490861816079147;   0,0490862019323313;   0,0490862503538597;    0,049086186877138
        65;   0,0490861746100521;   0,0490861816078441;   0,0490862019331939;    0,049086250375356;   0,0490861868768296
        66;      0,0490861746059;   0,0490861816077734;   0,0490862019340566;    0,049086250396896;    0,049086186876521
        67;   0,0490861746017408;   0,0490861816077027;   0,0490862019349195;     0,04908625041848;   0,0490861868762124
        68;   0,0490861745975744;   0,0490861816076321;   0,0490862019357824;   0,0490862504401078;   0,0490861868759037
        69;   0,0490861745934008;   0,0490861816075614;   0,0490862019366455;   0,0490862504617796;    0,049086186875595
        70;   0,0490861745892198;   0,0490861816074907;   0,0490862019375088;   0,0490862504834955;   0,0490861868752863
        71;   0,0490861745850317;   0,0490861816074199;   0,0490862019383721;   0,0490862505052556;   0,0490861868749774
        72;   0,0490861745808363;   0,0490861816073492;   0,0490862019392356;   0,0490862505270598;   0,0490861868746686
        73;   0,0490861745766336;   0,0490861816072784;   0,0490862019400993;   0,0490862505489084;   0,0490861868743596
        74;   0,0490861745724235;   0,0490861816072077;    0,049086201940963;   0,0490862505708012;   0,0490861868740506
        75;   0,0490861745682061;   0,0490861816071369;   0,0490862019418268;   0,0490862505927386;   0,0490861868737416
        76;   0,0490861745639813;   0,0490861816070661;   0,0490862019426909;   0,0490862506147204;   0,0490861868734325
        77;   0,0490861745597492;   0,0490861816069953;    0,049086201943555;   0,0490862506367468;   0,0490861868731233
        78;   0,0490861745555096;   0,0490861816069245;   0,0490862019444192;   0,0490862506588178;   0,0490861868728141
        79;   0,0490861745512626;   0,0490861816068537;   0,0490862019452836;   0,0490862506809335;   0,0490861868725048
        80;   0,0490861745470081;   0,0490861816067828;   0,0490862019461481;   0,0490862507030941;   0,0490861868721955
        81;   0,0490861745427462;   0,0490861816067119;   0,0490862019470128;   0,0490862507252995;   0,0490861868718861
        82;   0,0490861745384768;    0,049086181606641;   0,0490862019478775;   0,0490862507475498;   0,0490861868715767
        83;   0,0490861745341999;   0,0490861816065702;   0,0490862019487424;   0,0490862507698452;   0,0490861868712672
        84;   0,0490861745299154;   0,0490861816064993;   0,0490862019496075;   0,0490862507921856;   0,0490861868709576
        85;   0,0490861745256234;   0,0490861816064283;   0,0490862019504726;   0,0490862508145712;    0,049086186870648
        86;   0,0490861745213238;   0,0490861816063574;   0,0490862019513379;    0,049086250837002;   0,0490861868703384
        87;   0,0490861745170166;   0,0490861816062865;   0,0490862019522033;   0,0490862508594782;   0,0490861868700286
        88;   0,0490861745127018;   0,0490861816062155;   0,0490862019530688;   0,0490862508819997;   0,0490861868697188
        89;   0,0490861745083793;   0,0490861816061446;   0,0490862019539345;   0,0490862509045667;    0,049086186869409
        90;   0,0490861745040492;   0,0490861816060736;   0,0490862019548002;   0,0490862509271793;   0,0490861868690992
        91;   0,0490861744997113;   0,0490861816060026;   0,0490862019556662;   0,0490862509498374;   0,0490861868687892
        92;   0,0490861744953658;   0,0490861816059315;   0,0490862019565322;   0,0490862509725412;   0,0490861868684792
        93;   0,0490861744910125;   0,0490861816058605;   0,0490862019573984;   0,0490862509952909;   0,0490861868681691
        94;   0,0490861744866515;   0,0490861816057895;   0,0490862019582647;   0,0490862510180864;    0,049086186867859
        95;   0,0490861744822827;   0,0490861816057185;   0,0490862019591311;   0,0490862510409278;   0,0490861868675488
        96;   0,0490861744779061;   0,0490861816056474;   0,0490862019599977;   0,0490862510638152;   0,0490861868672386
        97;   0,0490861744735216;   0,0490861816055763;   0,0490862019608644;   0,0490862510867487;   0,0490861868669283
        98;   0,0490861744691294;   0,0490861816055052;   0,0490862019617312;   0,0490862511097283;   0,0490861868666179
        99;   0,0490861744647292;   0,0490861816054341;   0,0490862019625981;   0,0490862511327542;   0,0490861868663075
       100;   0,0490861744603212;    0,049086181605363;   0,0490862019634652;   0,0490862511558264;   0,0490861868659971
       101;   0,0490861744559052;   0,0490861816052919;   0,0490862019643324;    0,049086251178945;   0,0490861868656866
       102;   0,0490861744514813;   0,0490861816052207;   0,0490862019651997;   0,0490862512021101;    0,049086186865376
       103;   0,0490861744470494;   0,0490861816051495;   0,0490862019660671;   0,0490862512253217;   0,0490861868650654
       104;   0,0490861744426096;   0,0490861816050784;   0,0490862019669347;   0,0490862512485799;   0,0490861868647547
       105;   0,0490861744381617;   0,0490861816050072;   0,0490862019678024;   0,0490862512718849;    0,049086186864444
       106;   0,0490861744337058;    0,049086181604936;   0,0490862019686703;   0,0490862512952367;   0,0490861868641331
       107;   0,0490861744292419;   0,0490861816048648;   0,0490862019695383;   0,0490862513186353;   0,0490861868638223
       108;   0,0490861744247699;   0,0490861816047936;   0,0490862019704063;   0,0490862513420809;   0,0490861868635114
       109;   0,0490861744202898;   0,0490861816047224;   0,0490862019712745;   0,0490862513655736;   0,0490861868632004
       110;   0,0490861744158015;   0,0490861816046511;   0,0490862019721429;   0,0490862513891133;   0,0490861868628894
       111;    0,049086174411305;   0,0490861816045798;   0,0490862019730114;   0,0490862514127003;   0,0490861868625783
       112;   0,0490861744068005;   0,0490861816045085;   0,0490862019738799;   0,0490862514363345;   0,0490861868622672
       113;   0,0490861744022877;   0,0490861816044372;   0,0490862019747487;   0,0490862514600161;    0,049086186861956
       114;   0,0490861743977666;   0,0490861816043659;   0,0490862019756175;   0,0490862514837452;   0,0490861868616447
       115;   0,0490861743932374;   0,0490861816042946;   0,0490862019764866;   0,0490862515075218;   0,0490861868613334
       116;   0,0490861743886999;   0,0490861816042233;   0,0490862019773557;    0,049086251531346;    0,049086186861022
       117;    0,049086174384154;   0,0490861816041519;   0,0490862019782249;   0,0490862515552179;   0,0490861868607106
       118;   0,0490861743795999;   0,0490861816040806;   0,0490862019790943;   0,0490862515791375;   0,0490861868603991
       119;   0,0490861743750374;   0,0490861816040092;   0,0490862019799638;   0,0490862516031051;   0,0490861868600876
       120;   0,0490861743704665;   0,0490861816039378;   0,0490862019808335;   0,0490862516271206;    0,049086186859776
       121;   0,0490861743658872;   0,0490861816038664;   0,0490862019817032;   0,0490862516511841;   0,0490861868594643
       122;   0,0490861743612995;    0,049086181603795;   0,0490862019825731;   0,0490862516752957;   0,0490861868591526
       123;   0,0490861743567034;   0,0490861816037235;   0,0490862019834431;   0,0490862516994556;   0,0490861868588408
       124;   0,0490861743520987;   0,0490861816036521;   0,0490862019843133;   0,0490862517236637;    0,049086186858529
       125;   0,0490861743474856;   0,0490861816035807;   0,0490862019851836;   0,0490862517479202;   0,0490861868582172
       126;    0,049086174342864;   0,0490861816035092;    0,049086201986054;   0,0490862517722252;   0,0490861868579052
       127;   0,0490861743382337;   0,0490861816034377;   0,0490862019869245;   0,0490862517965787;   0,0490861868575932
       128;   0,0490861743335949;   0,0490861816033662;   0,0490862019877952;   0,0490862518209809;   0,0490861868572812
       129;   0,0490861743289476;   0,0490861816032947;    0,049086201988666;   0,0490862518454317;    0,049086186856969
       130;   0,0490861743242916;   0,0490861816032232;   0,0490862019895369;   0,0490862518699314;   0,0490861868566569
       131;   0,0490861743196269;   0,0490861816031516;   0,0490862019904079;     0,04908625189448;   0,0490861868563447
       132;   0,0490861743149536;     0,04908618160308;   0,0490862019912791;   0,0490862519190776;   0,0490861868560324
       133;   0,0490861743102716;   0,0490861816030085;   0,0490862019921504;   0,0490862519437242;     0,04908618685572
       134;   0,0490861743055808;   0,0490861816029369;   0,0490862019930219;     0,04908625196842;   0,0490861868554076
       135;   0,0490861743008813;   0,0490861816028653;   0,0490862019938934;   0,0490862519931651;   0,0490861868550951
       136;   0,0490861742961729;   0,0490861816027937;   0,0490862019947651;   0,0490862520179595;   0,0490861868547826
       137;   0,0490861742914558;   0,0490861816027221;    0,049086201995637;   0,0490862520428033;     0,04908618685447
       138;   0,0490861742867299;   0,0490861816026504;   0,0490862019965089;   0,0490862520676966;   0,0490861868541574
       139;    0,049086174281995;   0,0490861816025788;    0,049086201997381;   0,0490862520926395;   0,0490861868538447
       140;   0,0490861742772513;   0,0490861816025071;   0,0490862019982532;   0,0490862521176321;    0,049086186853532
       141;   0,0490861742724987;   0,0490861816024354;   0,0490862019991255;   0,0490862521426745;   0,0490861868532192
       142;    0,049086174267737;   0,0490861816023638;    0,049086201999998;   0,0490862521677668;   0,0490861868529063
       143;   0,0490861742629665;   0,0490861816022921;   0,0490862020008706;   0,0490862521929091;   0,0490861868525934
       144;   0,0490861742581869;   0,0490861816022204;   0,0490862020017433;   0,0490862522181014;   0,0490861868522805
       145;   0,0490861742533982;   0,0490861816021486;   0,0490862020026162;   0,0490862522433439;   0,0490861868519674
       146;   0,0490861742486006;   0,0490861816020769;   0,0490862020034892;   0,0490862522686367;   0,0490861868516543
       147;   0,0490861742437938;   0,0490861816020051;   0,0490862020043623;   0,0490862522939797;   0,0490861868513412
       148;   0,0490861742389779;   0,0490861816019334;   0,0490862020052356;   0,0490862523193732;    0,049086186851028
       149;   0,0490861742341529;   0,0490861816018616;   0,0490862020061089;   0,0490862523448172;   0,0490861868507147
       150;   0,0490861742293188;   0,0490861816017898;   0,0490862020069824;   0,0490862523703119;   0,0490861868504014
       151;   0,0490861742244753;    0,049086181601718;   0,0490862020078561;   0,0490862523958572;    0,049086186850088
       152;   0,0490861742196227;   0,0490861816016462;   0,0490862020087298;   0,0490862524214533;   0,0490861868497746
       153;   0,0490861742147608;   0,0490861816015743;   0,0490862020096037;   0,0490862524471004;   0,0490861868494611
       154;   0,0490861742098897;   0,0490861816015025;   0,0490862020104778;   0,0490862524727985;   0,0490861868491475
       155;   0,0490861742050092;   0,0490861816014306;   0,0490862020113519;   0,0490862524985476;   0,0490861868488339
       156;   0,0490861742001194;   0,0490861816013588;   0,0490862020122262;   0,0490862525243478;   0,0490861868485203
       157;   0,0490861741952202;   0,0490861816012869;   0,0490862020131006;   0,0490862525501995;   0,0490861868482065
       158;   0,0490861741903116;   0,0490861816012149;   0,0490862020139752;   0,0490862525761025;   0,0490861868478928
       159;   0,0490861741853936;    0,049086181601143;   0,0490862020148499;   0,0490862526020569;   0,0490861868475789
       160;   0,0490861741804661;   0,0490861816010711;   0,0490862020157246;   0,0490862526280629;    0,049086186847265
       161;   0,0490861741755291;   0,0490861816009991;   0,0490862020165996;   0,0490862526541206;    0,049086186846951
