           Func;            Sigmoid;  HyperbolicTangens;          Sinusoida;       Cosinusoidal;        Function001
           Test;               0/26;               0/26;               0/26;               0/26;               0/26
       level3_1;               2/26;               1/26;               2/26;               1/26;               1/26
       level3_2;               0/26;               1/26;               0/26;               0/26;               0/26
       level4_1;               0/26;               0/26;               0/26;               0/26;               1/26
       level4_2;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_1;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_2;               0/26;               1/26;               1/26;               1/26;               1/26
       level5_3;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_4;               0/26;               0/26;               0/26;               0/26;               0/26
 Iteration;              Sigmoid;    HyperbolicTangens;            Sinusoida;         Cosinusoidal;          Function001
         1;   0,0283615682854663;   0,0281492905886086;   0,0282519149298682;   0,0285283640978343;   0,0289249750133363
         2;    0,016371716916239;   0,0151584881816151;   0,0150048034110748;   0,0185036274597895;   0,0165529990237021
         3;   0,0100719932562091;  0,00953392098587808;  0,00916223419384871;   0,0121882656422182;   0,0105883723240112
         4;  0,00739353737034511;                    0;                    0;  0,00826549241211054;  0,00802338663320971
