           Func;            Sigmoid;  HyperbolicTangens;          Sinusoida;       Cosinusoidal;        Function001
           Test;               0/26;               0/26;               0/26;               0/26;               0/26
       level2_1;               1/26;               1/26;               1/26;               4/26;               2/26
       level2_2;               4/26;               2/26;               3/26;               3/26;               4/26
       level3_1;               2/26;               0/26;               1/26;               1/26;               1/26
       level3_2;               1/26;               1/26;               1/26;               1/26;               1/26
       level4_1;               0/26;               0/26;               0/26;               0/26;               0/26
       level4_2;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_1;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_2;               0/26;               1/26;               0/26;               1/26;               1/26
       level5_3;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_4;               0/26;               0/26;               0/26;               0/26;               0/26
 Iteration;              Sigmoid;    HyperbolicTangens;            Sinusoida;         Cosinusoidal;          Function001
         1;   0,0349378806553897;   0,0347472304866743;   0,0343258698132488;   0,0349765355695265;   0,0359262640128632
         2;   0,0290925084787428;   0,0273246628304269;   0,0264228483389018;    0,028322595991579;   0,0299729531267562
         3;   0,0234616902949216;   0,0205277056687053;   0,0191375801546329;   0,0213011717763954;   0,0245765468701123
         4;     0,01880127392084;   0,0154117838492835;    0,015044597715617;   0,0158510030457032;   0,0190527489415802
         5;   0,0147988430997059;     0,01233193636231;   0,0125472114443813;   0,0120578093736419;   0,0143416153589118
         6;   0,0116299209681903;    0,010275858433117;   0,0107518573105994;  0,00930535021765714;   0,0111023559769258
         7;   0,0094934247219243;  0,00876873393166078;  0,00928293553356649;                    0;  0,00890544652714454
