           Func;            Sigmoid;  HyperbolicTangens;          Sinusoida;       Cosinusoidal;        Function001
           Test;               0/26;               0/26;               0/26;               0/26;               0/26
       level2_1;               4/26;               2/26;               3/26;               1/26;               2/26
       level2_2;               4/26;               2/26;               4/26;               3/26;               3/26
       level3_1;               0/26;               0/26;               0/26;               0/26;               1/26
       level3_2;               0/26;               1/26;               1/26;               0/26;               0/26
       level4_1;               0/26;               0/26;               0/26;               0/26;               0/26
       level4_2;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_1;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_2;               0/26;               1/26;               0/26;               0/26;               0/26
       level5_3;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_4;               0/26;               0/26;               0/26;               0/26;               0/26
 Iteration;              Sigmoid;    HyperbolicTangens;            Sinusoida;         Cosinusoidal;          Function001
         1;   0,0276828768492698;   0,0291606690781818;   0,0286413695499088;   0,0272509614908824;   0,0277607180667111
         2;   0,0165796695868035;    0,018959508973797;   0,0163957106039003;   0,0161267521076814;   0,0162789285157534
         3;   0,0110345290867206;   0,0126201838902987;   0,0110121663211022;   0,0110176845435786;    0,010734889135398
         4;  0,00828471858955709;  0,00840554217678001;  0,00831663296507791;  0,00861032493845463;  0,00830266141081526
