           Func;            Sigmoid;  HyperbolicTangens;          Sinusoida;       Cosinusoidal;        Function001
           Test;               0/26;               1/26;               1/26;               0/26;               1/26
       level2_1;               5/26;               9/26;               5/26;               5/26;               6/26
       level2_2;               5/26;               9/26;               9/26;              12/26;               9/26
       level3_1;               2/26;               4/26;               4/26;               3/26;               2/26
       level3_2;               1/26;               6/26;               3/26;               8/26;               3/26
       level4_1;               0/26;               3/26;               1/26;               2/26;               0/26
       level4_2;               0/26;               0/26;               1/26;               2/26;               2/26
       level5_1;               0/26;               0/26;               0/26;               1/26;               0/26
       level5_2;               0/26;               0/26;               0/26;               0/26;               1/26
       level5_3;               0/26;               2/26;               1/26;               2/26;               1/26
       level5_4;               0/26;               0/26;               0/26;               0/26;               0/26
 Iteration;              Sigmoid;    HyperbolicTangens;            Sinusoida;         Cosinusoidal;          Function001
         1;   0,0441425059356087;    0,040814820385499;   0,0417512222490735;   0,0411183724933342;   0,0409581772123528
         2;   0,0413899164272241;   0,0404135749463079;   0,0410370606277712;   0,0387980899926822;   0,0403124266938625
         3;   0,0372953421326871;   0,0411978091612516;   0,0352423341037445;   0,0334616255200656;   0,0364848066545528
         4;   0,0244857554038762;   0,0402005411223265;   0,0322067596521768;   0,0272903174039786;   0,0314504641853712
         5;   0,0159462361912663;   0,0349038975331327;   0,0259324023195983;   0,0245541844209336;   0,0252486483269449
         6;   0,0100547836529755;   0,0339271718036475;    0,020012882828097;   0,0172306813256837;   0,0213291809805272
         7;  0,00909366913513871;   0,0294873034329312;   0,0192281945032393;    0,012052604787803;   0,0178592127234015
         8;                    0;   0,0230512596169071;   0,0130768922264113;  0,00913570334468529;    0,017181876511205
         9;                    0;   0,0195530601454151;   0,0117668568954086;                    0;   0,0205220053310143
        10;                    0;   0,0211169624107214;   0,0115616338436825;                    0;   0,0087829492253831
        11;                    0;   0,0171687756007528;   0,0107251483005041;                    0;                    0
        12;                    0;   0,0145953640132364;   0,0106722761935273;                    0;                    0
        13;                    0;   0,0159911869305537;   0,0103848872749745;                    0;                    0
        14;                    0;   0,0126896110973805;   0,0105039633053953;                    0;                    0
        15;                    0;     0,01897712450584;   0,0103849633536641;                    0;                    0
        16;                    0;   0,0154305702479342;   0,0103861694623051;                    0;                    0
        17;                    0;   0,0146255870214607;   0,0104139399853775;                    0;                    0
        18;                    0;  0,00840844519975667;   0,0100415358193815;                    0;                    0
        19;                    0;                    0;   0,0103717902566659;                    0;                    0
        20;                    0;                    0;   0,0104921865688429;                    0;                    0
        21;                    0;                    0;   0,0104595309987127;                    0;                    0
        22;                    0;                    0;   0,0104337308027214;                    0;                    0
        23;                    0;                    0;   0,0104546463212707;                    0;                    0
        24;                    0;                    0;   0,0104588569649964;                    0;                    0
        25;                    0;                    0;   0,0102105797925314;                    0;                    0
        26;                    0;                    0;   0,0100683113481925;                    0;                    0
        27;                    0;                    0;  0,00987024351799033;                    0;                    0
