           Func;            Sigmoid;  HyperbolicTangens;          Sinusoida;       Cosinusoidal;        Function001
           Test;               0/26;               0/26;               0/26;               1/26;               1/26
       level2_1;               4/26;               3/26;               2/26;               2/26;               4/26
       level2_2;               4/26;               3/26;               4/26;               6/26;               7/26
       level3_1;               0/26;               2/26;               2/26;               1/26;               3/26
       level3_2;               0/26;               2/26;               0/26;               2/26;               1/26
       level4_1;               0/26;               0/26;               0/26;               0/26;               0/26
       level4_2;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_1;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_2;               1/26;               1/26;               1/26;               1/26;               1/26
       level5_3;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_4;               0/26;               0/26;               0/26;               0/26;               0/26
 Iteration;              Sigmoid;    HyperbolicTangens;            Sinusoida;         Cosinusoidal;          Function001
         1;   0,0279179738314684;   0,0291019053196961;   0,0288192125811253;    0,030200820442701;   0,0323472250830486
         2;   0,0150404854484086;   0,0167141143593079;   0,0167520083169995;   0,0167630353725428;   0,0178146664381883
         3;   0,0106474911205251;   0,0101289791059319;   0,0110747005650648;   0,0111790660042832;   0,0118209801574929
         4;  0,00927847968036323;  0,00755917501194321;  0,00867538247822155;  0,00898657303795003;  0,00949182723989139
