Beta; Sigmoid; HyperbolicTangens; Sinusoida; Cosinusoidal; Function001
0,00999999977648258; 8; 9; 8; 7; 4
0,0599999986588955; 4; 4; 4; 4; 4
0,109999999403954; 4; 2; 4; 5; 6
0,159999996423721; 4; 7; 5; 5; 5
0,209999993443489; 5; 7; 6; 5; 5
0,259999990463257; 4; 4; 4; 2; 3
0,310000002384186; 4; 3; 3; 3; 4
0,360000014305115; 3; 4; 4; 4; 3
0,409999996423721; 6; 3; 4; 7; 6
0,46000000834465; 9; 9; 5; 8; 9
0,509999990463257; 13; 9; 9; 5; 12
0,560000002384186; 15; 15; 11; 8; 10
0,610000014305115; 11; 12; 13; 12; 12
0,660000026226044; 11; 10; 14; 11; 13
0,709999978542328; 12; 13; 13; 14; 15
0,759999990463257; 16; 15; 11; 9; 9
0,810000002384186; 15; 9; 12; 15; 10
0,860000014305115; 12; 22; 12; 15; 13
