Beta; Sigmoid; HyperbolicTangens; Sinusoida; Cosinusoidal; Function001
0,00999999977648258; 3; 3; 5; 1; 1
0,0599999986588955; 0; 1; 1; 0; 1
0,109999999403954; 1; 0; 0; 0; 1
0,159999996423721; 1; 1; 0; 2; 1
0,209999993443489; 1; 1; 1; 3; 0
0,259999990463257; 0; 1; 0; 1; 2
0,310000002384186; 1; 0; 1; 2; 0
0,360000014305115; 0; 0; 2; 0; 1
0,409999996423721; 0; 2; 1; 1; 4
0,46000000834465; 1; 1; 1; 2; 6
0,509999990463257; 4; 1; 3; 1; 3
0,560000002384186; 3; 5; 4; 5; 4
0,610000014305115; 4; 5; 6; 8; 2
0,660000026226044; 5; 8; 11; 1; 5
0,709999978542328; 4; 3; 4; 3; 5
0,759999990463257; 6; 5; 3; 4; 3
0,810000002384186; 4; 5; 8; 7; 7
0,860000014305115; 2; 20; 4; 3; 7
