Beta; Sigmoid; HyperbolicTangens; Sinusoida; Cosinusoidal; Function001
0,00999999977648258; 1001; 1001; 1001; 132; 106
0,0599999986588955; 16; 18; 18; 20; 20
0,109999999403954; 13; 14; 13; 14; 16
0,159999996423721; 9; 15; 9; 12; 11
0,209999993443489; 9; 6; 7; 8; 7
0,259999990463257; 4; 4; 5; 4; 4
0,310000002384186; 4; 4; 3; 3; 4
0,360000014305115; 4; 3; 4; 4; 4
0,409999996423721; 5; 4; 4; 4; 5
0,46000000834465; 4; 5; 6; 6; 5
0,509999990463257; 11; 9; 7; 7; 14
0,560000002384186; 22; 13; 25; 13; 16
0,610000014305115; 17; 275; 1001; 45; 25
0,660000026226044; 1001; 40; 57; 115; 49
0,709999978542328; 214; 97; 229; 108; 297
0,759999990463257; 239; 242; 1001; 1001; 1001
0,810000002384186; 304; 381; 289; 1001; 1001
0,860000014305115; 882; 1001; 851; 1001; 1001
