Beta; Sigmoid; HyperbolicTangens; Sinusoida; Cosinusoidal; Function001
0,00999999977648258; 5; 5; 6; 8; 6
0,0599999986588955; 5; 5; 4; 6; 4
0,109999999403954; 7; 5; 5; 4; 1
0,159999996423721; 3; 4; 6; 5; 4
0,209999993443489; 4; 4; 3; 2; 5
0,259999990463257; 3; 5; 3; 4; 4
0,310000002384186; 3; 3; 3; 1; 5
0,360000014305115; 3; 2; 4; 7; 3
0,409999996423721; 6; 4; 6; 4; 3
0,46000000834465; 6; 8; 6; 10; 10
0,509999990463257; 7; 8; 8; 12; 8
0,560000002384186; 13; 6; 11; 6; 15
0,610000014305115; 9; 9; 8; 11; 16
0,660000026226044; 14; 11; 10; 13; 13
0,709999978542328; 14; 12; 12; 14; 14
0,759999990463257; 15; 16; 14; 13; 7
0,810000002384186; 12; 12; 13; 11; 14
0,860000014305115; 14; 8; 13; 22; 14
