Beta; Sigmoid; HyperbolicTangens; Sinusoida; Cosinusoidal; Function001
0,00999999977648258; 138; 101; 124; 133; 1001
0,0599999986588955; 18; 17; 20; 21; 19
0,109999999403954; 12; 13; 12; 16; 16
0,159999996423721; 10; 9; 9; 10; 9
0,209999993443489; 7; 7; 6; 7; 8
0,259999990463257; 4; 5; 5; 4; 5
0,310000002384186; 4; 4; 4; 3; 4
0,360000014305115; 4; 3; 4; 4; 4
0,409999996423721; 5; 4; 5; 6; 4
0,46000000834465; 5; 6; 5; 7; 6
0,509999990463257; 9; 7; 13; 11; 7
0,560000002384186; 14; 12; 12; 9; 11
0,610000014305115; 1001; 17; 19; 49; 16
0,660000026226044; 33; 70; 26; 37; 64
0,709999978542328; 1001; 243; 1001; 106; 124
0,759999990463257; 1001; 251; 242; 1001; 516
0,810000002384186; 1001; 1001; 542; 746; 273
0,860000014305115; 867; 427; 1001; 1001; 1001
