Beta; Sigmoid; HyperbolicTangens; Sinusoida; Cosinusoidal; Function001
0,00999999977648258; 2; 0; 1; 1; 2
0,0599999986588955; 1; 1; 0; 1; 0
0,109999999403954; 2; 1; 1; 0; 1
0,159999996423721; 0; 0; 1; 1; 1
0,209999993443489; 1; 3; 0; 2; 2
0,259999990463257; 0; 1; 1; 1; 0
0,310000002384186; 1; 2; 2; 1; 1
0,360000014305115; 1; 1; 1; 2; 1
0,409999996423721; 1; 1; 1; 0; 1
0,46000000834465; 3; 1; 2; 1; 1
0,509999990463257; 4; 6; 3; 2; 3
0,560000002384186; 4; 4; 2; 2; 3
0,610000014305115; 6; 3; 3; 6; 5
0,660000026226044; 6; 7; 6; 2; 5
0,709999978542328; 4; 3; 5; 5; 5
0,759999990463257; 4; 9; 10; 7; 3
0,810000002384186; 3; 5; 6; 1; 6
0,860000014305115; 6; 6; 6; 6; 7
