Beta; Sigmoid; HyperbolicTangens; Sinusoida; Cosinusoidal; Function001
0,00999999977648258; 117; 166; 106; 144; 138
0,0599999986588955; 18; 16; 20; 21; 17
0,109999999403954; 11; 14; 16; 17; 11
0,159999996423721; 14; 11; 10; 10; 14
0,209999993443489; 7; 7; 6; 7; 9
0,259999990463257; 4; 4; 5; 4; 4
0,310000002384186; 4; 3; 4; 3; 4
0,360000014305115; 4; 3; 4; 3; 4
0,409999996423721; 4; 5; 4; 4; 4
0,46000000834465; 5; 5; 6; 5; 4
0,509999990463257; 9; 12; 11; 9; 10
0,560000002384186; 22; 13; 13; 22; 21
0,610000014305115; 28; 12; 121; 29; 19
0,660000026226044; 50; 44; 39; 33; 40
0,709999978542328; 171; 97; 1001; 76; 78
0,759999990463257; 220; 1001; 203; 221; 780
0,810000002384186; 313; 1001; 1001; 636; 208
0,860000014305115; 1001; 1001; 1001; 1001; 1001
