           Func;            Sigmoid;  HyperbolicTangens;          Sinusoida;       Cosinusoidal;        Function001
           Test;               0/26;               0/26;               1/26;               0/26;               0/26
       level2_1;               1/26;               2/26;               2/26;               2/26;               1/26
       level2_2;               5/26;               5/26;               4/26;               6/26;               4/26
       level3_1;               1/26;               0/26;               1/26;               0/26;               1/26
       level3_2;               2/26;               0/26;               3/26;               2/26;               1/26
       level4_1;               0/26;               0/26;               0/26;               0/26;               0/26
       level4_2;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_1;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_2;               0/26;               1/26;               0/26;               1/26;               0/26
       level5_3;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_4;               0/26;               0/26;               0/26;               0/26;               0/26
 Iteration;              Sigmoid;    HyperbolicTangens;            Sinusoida;         Cosinusoidal;          Function001
         1;   0,0376249831273107;   0,0376403365735008;   0,0376673518023932;   0,0376956020774837;   0,0376547758316632
         2;   0,0370458634941764;   0,0372545460569485;   0,0374742700482982;   0,0375201805359959;   0,0371840615995078
         3;   0,0357323120887161;   0,0366595185580375;   0,0368310130457504;   0,0369468416018005;   0,0362218368333577
         4;   0,0338853506176135;   0,0358186901430515;   0,0352342184971897;   0,0358015818983825;   0,0344169498003247
         5;   0,0316147801187124;     0,03446032667411;   0,0329894694797397;    0,033959217934893;   0,0319407761183609
         6;   0,0289086455362574;    0,032120279984036;   0,0304569408312966;   0,0314232580231589;   0,0292331138984403
         7;   0,0259813005877802;   0,0290191970244149;   0,0279054453210428;   0,0283434677532831;   0,0265586531355843
         8;   0,0231851534921978;   0,0254770734304979;   0,0254429083031001;   0,0253751725424952;    0,024035119779929
         9;   0,0207063403621174;   0,0222700776029419;   0,0231092693320958;   0,0227820723460033;   0,0217352935627878
        10;   0,0185738227758811;    0,019566409165997;   0,0209525681883155;   0,0205003802826739;   0,0196648671971598
        11;   0,0167673315384507;   0,0173440236550605;   0,0189685492674516;   0,0185136007039629;   0,0178423061472485
        12;     0,01524572517509;   0,0155080343694901;   0,0171904646347109;   0,0168431446336883;   0,0162792350088123
        13;   0,0139600177142738;   0,0139765844262629;   0,0156438632180584;   0,0154427468092999;   0,0149459584470571
        14;   0,0128639677970536;   0,0126977833509716;   0,0143094368356228;   0,0142627247354525;    0,013789475979313
        15;    0,011918083640109;   0,0116320869914683;   0,0131670945004974;   0,0132779465791108;   0,0127580423996818
        16;   0,0110941277711019;   0,0107376552081595;   0,0121999956635698;   0,0124546360200628;   0,0118265641246271
        17;   0,0103716440966287;  0,00997818322601507;   0,0113889926239006;   0,0117571938375464;   0,0109846948672484
        18;  0,00973385403175992;                    0;   0,0107149259066289;   0,0111493403404383;   0,0102320634338708
        19;                    0;                    0;   0,0101590500449101;   0,0105788124929361;  0,00956874433338998
        20;                    0;                    0;  0,00970529397412278;   0,0100108763478367;                    0
        21;                    0;                    0;                    0;   0,0094645852575268;                    0
