           Func;            Sigmoid;  HyperbolicTangens;          Sinusoida;       Cosinusoidal;        Function001
           Test;               0/26;               0/26;               0/26;               0/26;               0/26
       level2_1;               1/26;               0/26;               1/26;               2/26;               1/26
       level2_2;               3/26;               3/26;               3/26;               1/26;               5/26
       level3_1;               2/26;               2/26;               1/26;               0/26;               1/26
       level3_2;               1/26;               0/26;               0/26;               1/26;               0/26
       level4_1;               0/26;               0/26;               0/26;               0/26;               0/26
       level4_2;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_1;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_2;               1/26;               0/26;               0/26;               1/26;               1/26
       level5_3;               1/26;               0/26;               0/26;               0/26;               0/26
       level5_4;               0/26;               0/26;               0/26;               0/26;               0/26
 Iteration;              Sigmoid;    HyperbolicTangens;            Sinusoida;         Cosinusoidal;          Function001
         1;   0,0291769087204715;   0,0267399999639747;   0,0268410873777441;   0,0292020730336521;   0,0281472361681787
         2;   0,0187367238932618;   0,0159851011952655;   0,0157463512825465;   0,0150791387223422;   0,0152621319911656
         3;   0,0117212665398457;   0,0108786836480531;   0,0107566944053595;  0,00970054884017662;   0,0102252566801968
         4;  0,00807984256256657;  0,00858667297048763;  0,00864264583780202;                    0;  0,00746444969403545
