           Func;            Sigmoid;  HyperbolicTangens;          Sinusoida;       Cosinusoidal;        Function001
           Test;               0/26;               0/26;               0/26;               0/26;               0/26
       level2_1;               3/26;               3/26;               2/26;               3/26;               2/26
       level2_2;               3/26;               4/26;               6/26;               5/26;               4/26
       level3_1;               2/26;               0/26;               1/26;               0/26;               2/26
       level3_2;               1/26;               2/26;               1/26;               4/26;               0/26
       level4_1;               0/26;               0/26;               0/26;               0/26;               0/26
       level4_2;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_1;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_2;               0/26;               0/26;               1/26;               0/26;               0/26
       level5_3;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_4;               0/26;               0/26;               0/26;               0/26;               0/26
 Iteration;              Sigmoid;    HyperbolicTangens;            Sinusoida;         Cosinusoidal;          Function001
         1;   0,0364555926703625;   0,0364384678120114;   0,0364670905637872;   0,0364241262624135;   0,0369572953991519
         2;   0,0332284808669749;   0,0321400196602006;   0,0327708738073241;   0,0326126585212665;   0,0334630310005642
         3;   0,0283832660620944;   0,0263552375787304;   0,0278788137052617;   0,0274642471179866;   0,0279676640460687
         4;   0,0233700372290051;   0,0216090010783669;   0,0230322610101423;    0,022477381091977;   0,0226495992034946
         5;   0,0193347338555639;   0,0179401057497951;   0,0190779984109303;   0,0188890574180584;   0,0184509581385028
         6;   0,0163274071481335;   0,0149164426481388;   0,0159855532391071;   0,0164455771293915;   0,0153510792948019
         7;   0,0140185498207306;   0,0125351834625356;   0,0134963915092633;   0,0142873394751393;   0,0128623617184428
         8;   0,0121995288117858;    0,010733769842055;   0,0114793958658938;   0,0121960163024258;   0,0108034665230951
         9;   0,0107268271988884;  0,00934384663044788;  0,00972573145125359;   0,0103058450938577;  0,00912948748414184
        10;  0,00943525429646104;                    0;                    0;  0,00878311964454592;                    0
