Beta; Sigmoid; HyperbolicTangens; Sinusoida; Cosinusoidal; Function001
0,00999999977648258; 4; 2; 3; 3; 3
0,0599999986588955; 2; 0; 3; 1; 3
0,109999999403954; 2; 3; 2; 3; 2
0,159999996423721; 1; 3; 3; 1; 2
0,209999993443489; 2; 1; 2; 1; 0
0,259999990463257; 1; 0; 1; 2; 3
0,310000002384186; 3; 1; 1; 4; 2
0,360000014305115; 3; 1; 4; 1; 0
0,409999996423721; 1; 2; 5; 5; 2
0,46000000834465; 2; 4; 2; 5; 4
0,509999990463257; 8; 4; 6; 5; 2
0,560000002384186; 5; 5; 4; 10; 4
0,610000014305115; 9; 10; 5; 4; 10
0,660000026226044; 8; 10; 5; 4; 5
0,709999978542328; 6; 5; 9; 7; 8
0,759999990463257; 6; 9; 5; 4; 10
0,810000002384186; 7; 8; 11; 6; 6
0,860000014305115; 11; 12; 11; 9; 6
