Beta; Sigmoid; HyperbolicTangens; Sinusoida; Cosinusoidal; Function001
0,00999999977648258; 112; 1001; 183; 120; 150
0,0599999986588955; 19; 21; 20; 20; 18
0,109999999403954; 14; 15; 11; 15; 24
0,159999996423721; 10; 11; 11; 12; 11
0,209999993443489; 7; 7; 7; 7; 7
0,259999990463257; 5; 4; 5; 5; 5
0,310000002384186; 3; 4; 4; 5; 4
0,360000014305115; 4; 3; 5; 4; 4
0,409999996423721; 4; 4; 4; 4; 4
0,46000000834465; 1001; 7; 6; 4; 5
0,509999990463257; 12; 15; 10; 10; 6
0,560000002384186; 12; 21; 17; 28; 12
0,610000014305115; 35; 21; 17; 16; 17
0,660000026226044; 73; 31; 43; 36; 40
0,709999978542328; 52; 203; 87; 51; 306
0,759999990463257; 108; 1001; 211; 389; 230
0,810000002384186; 1001; 970; 800; 1001; 585
0,860000014305115; 1001; 1001; 678; 1001; 1001
