           Func;            Sigmoid;  HyperbolicTangens;          Sinusoida;       Cosinusoidal;        Function001
           Test;               0/26;               0/26;               0/26;               0/26;               1/26
       level2_1;               3/26;               1/26;               3/26;               2/26;               4/26
       level2_2;               6/26;               2/26;               2/26;               5/26;               5/26
       level3_1;               0/26;               1/26;               1/26;               0/26;               1/26
       level3_2;               1/26;               0/26;               1/26;               1/26;               2/26
       level4_1;               0/26;               0/26;               0/26;               0/26;               0/26
       level4_2;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_1;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_2;               1/26;               1/26;               1/26;               1/26;               1/26
       level5_3;               0/26;               0/26;               0/26;               0/26;               1/26
       level5_4;               0/26;               0/26;               0/26;               0/26;               0/26
 Iteration;              Sigmoid;    HyperbolicTangens;            Sinusoida;         Cosinusoidal;          Function001
         1;   0,0305563620097135;   0,0270332508037259;   0,0306856652715144;   0,0301114341382821;   0,0299570410313865
         2;   0,0180145245755595;   0,0134683704668914;   0,0173937626451477;   0,0166846034485628;   0,0174915824824541
         3;   0,0121817228655629;  0,00819765067262209;   0,0105144320061405;   0,0103797319060421;   0,0120516473237102
         4;  0,00967218057785383;                    0;  0,00784083165286417;  0,00812442299210402;   0,0102284906431973
         5;                    0;                    0;                    0;                    0;  0,00905366393538506
