           Func;            Sigmoid;  HyperbolicTangens;          Sinusoida;       Cosinusoidal;        Function001
           Test;               0/26;               0/26;               0/26;               0/26;               0/26
       level2_1;               3/26;               4/26;               4/26;               1/26;               5/26
       level2_2;               6/26;               8/26;               7/26;               4/26;               4/26
       level3_1;               0/26;               1/26;               1/26;               0/26;               1/26
       level3_2;               0/26;               4/26;               1/26;               1/26;               2/26
       level4_1;               0/26;               1/26;               0/26;               0/26;               1/26
       level4_2;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_1;               0/26;               1/26;               0/26;               0/26;               0/26
       level5_2;               0/26;               0/26;               1/26;               1/26;               1/26
       level5_3;               0/26;               1/26;               0/26;               0/26;               0/26
       level5_4;               0/26;               1/26;               0/26;               0/26;               0/26
 Iteration;              Sigmoid;    HyperbolicTangens;            Sinusoida;         Cosinusoidal;          Function001
         1;   0,0353785060279121;   0,0368304481029371;   0,0374475104138934;   0,0360638798293736;    0,036223825057289
         2;   0,0267750249725229;   0,0265924241114257;   0,0240503150803833;   0,0244440675307177;   0,0281397779577246
         3;   0,0199277459859883;   0,0173774123366375;   0,0138141293397651;   0,0122247228075857;   0,0173920578849841
         4;   0,0199180019374797;   0,0113213070352605;  0,00809423630663114;  0,00749190716520206;   0,0137660808360869
         5;   0,0127174116610954;   0,0109228389445579;                    0;                    0;  0,00803385305465893
         6;   0,0106108062768565;  0,00809329689485448;                    0;                    0;                    0
         7;  0,00787288365915535;                    0;                    0;                    0;                    0
