           Func;            Sigmoid;  HyperbolicTangens;          Sinusoida;       Cosinusoidal;        Function001
           Test;               2/26;               1/26;               1/26;               5/26;               1/26
       level2_1;               5/26;               8/26;              10/26;              13/26;               6/26
       level2_2;               5/26;              12/26;              12/26;              15/26;              12/26
       level3_1;               5/26;               5/26;               6/26;               9/26;               9/26
       level3_2;               3/26;               2/26;               6/26;               4/26;               9/26
       level4_1;               4/26;               1/26;               1/26;               6/26;               4/26
       level4_2;               4/26;               2/26;               3/26;               6/26;               2/26
       level5_1;               1/26;               0/26;               1/26;               2/26;               1/26
       level5_2;               1/26;               0/26;               1/26;               2/26;               3/26
       level5_3;               1/26;               0/26;               2/26;               2/26;               3/26
       level5_4;               1/26;               1/26;               1/26;               2/26;               1/26
 Iteration;              Sigmoid;    HyperbolicTangens;            Sinusoida;         Cosinusoidal;          Function001
         1;    0,044356295709639;   0,0443561049376177;   0,0443559120886245;   0,0443532089332943;   0,0443549592265865
         2;   0,0443562916650647;   0,0443563888520271;   0,0443559473367721;   0,0443532235657971;   0,0443549593199969
         3;   0,0443562880101443;   0,0443567948165597;   0,0443559849246155;   0,0443532370929569;   0,0443549594846319
         4;   0,0443562847018105;   0,0443574075884907;   0,0443560251456102;   0,0443532495373428;   0,0443549596505607
         5;   0,0443562817319051;   0,0443584062903809;   0,0443560683092823;    0,044353260927363;   0,0443549598177923
         6;   0,0443562790929247;   0,0443602376422622;   0,0443561147750939;    0,044353271284478;   0,0443549599863358
         7;   0,0443562767779845;   0,0443643802980711;    0,044356164963304;   0,0443532806232009;   0,0443549601562001
         8;    0,044356274780786;   0,0443800286447379;   0,0443562193689086;   0,0443532889509322;   0,0443549603273946
         9;   0,0443562730955871;   0,0444791789945102;   0,0443562785798005;   0,0443532962676019;   0,0443549604999285
        10;   0,0443562717171753;   0,0461662071965603;   0,0443563433008431;   0,0443533025650793;   0,0443549606738115
        11;   0,0443562706408439;   0,0496017862969335;   0,0443564143864617;   0,0443533078262909;   0,0443549608490531
        12;   0,0443562698623702;   0,0496042865728926;    0,044356492885917;   0,0443533120239567;    0,044354961025663
        13;   0,0443562693779965;   0,0392455590795556;   0,0443565801082657;   0,0443533151188116;   0,0443549612036509
        14;   0,0443562691844124;   0,0499542634037153;   0,0443566777195065;   0,0443533170571117;    0,044354961383027
        15;     0,04435626927874;     0,05269946785783;   0,0443567878959344;   0,0443533177671189;   0,0443549615638012
        16;   0,0443562696585203;    0,052992983105263;   0,0443569135842148;    0,044353317154084;   0,0443549617459837
        17;   0,0443562703217015;   0,0495773255608456;   0,0443570589868349;   0,0443533150929548;   0,0443549619295849
        18;   0,0443562712666292;   0,0520570785132427;    0,044357230593015;   0,0443533114175367;   0,0443549621146153
        19;   0,0443562724920378;   0,0385722189802839;   0,0443574397864307;   0,0443533059039148;   0,0443549623010853
        20;   0,0443562739970437;   0,0525102866824076;   0,0443577112628585;   0,0443532982442351;   0,0443549624890058
        21;     0,04435627578114;   0,0502541044436519;   0,0443581221077817;    0,044353288003538;   0,0443549626783876
        22;   0,0443562778441919;   0,0511424468974553;   0,0443590053631149;   0,0443532745451818;   0,0443549628692417
        23;   0,0443562801864348;   0,0511553054422105;   0,0404529205345446;   0,0443532568942286;   0,0443549630615792
        24;   0,0443562828084723;    0,054840736798435;   0,0468378822660637;    0,044353233468329;   0,0443549632554113
        25;   0,0443562857112768;   0,0547680162746412;   0,0417920336826326;   0,0443532014960301;   0,0443549634507495
        26;   0,0443562888961904;   0,0532821704868507;   0,0459259147057515;   0,0443531555942919;   0,0443549636476054
        27;    0,044356292364928;   0,0489347778026005;   0,0513672665657424;   0,0443530836285884;   0,0443549638459906
        28;   0,0443562961195813;   0,0498782369356213;   0,0522601808956593;   0,0443529509350624;    0,044354964045917
        29;   0,0443563001626241;   0,0505564249896745;   0,0524691309863772;   0,0443526009335908;   0,0443549642473965
        30;   0,0443563044969194;   0,0498106120355589;   0,0526154622986597;   0,0443477539112942;   0,0443549644504414
        31;   0,0443563091257278;   0,0500087554843775;   0,0527529670579775;    0,039997960734369;   0,0443549646550638
        32;   0,0443563140527174;   0,0518273782372566;   0,0475847977011126;   0,0428075650333074;   0,0443549648612764
        33;   0,0443563192819752;    0,049568642296008;   0,0498075438857643;   0,0433669859085809;   0,0443549650690916
        34;   0,0443563248180205;    0,051766486390286;   0,0499561909231736;   0,0435041296991509;   0,0443549652785222
        35;   0,0443563306658199;   0,0492660871457891;   0,0518961349739569;   0,0417382577824644;   0,0443549654895812
        36;   0,0443563368308043;   0,0514506843968505;   0,0474242113977468;   0,0406983160079567;   0,0443549657022818
        37;   0,0443563433188873;   0,0536786131044493;   0,0478091241583684;   0,0430334382721013;   0,0443549659166371
        38;   0,0443563501364874;   0,0495791416715423;   0,0478096724463178;   0,0458409523622085;   0,0443549661326606
