           Func;            Sigmoid;  HyperbolicTangens;          Sinusoida;       Cosinusoidal;        Function001
           Test;               0/26;               1/26;               1/26;               0/26;               0/26
       level2_1;               2/26;               3/26;               2/26;               5/26;               2/26
       level2_2;               9/26;               7/26;               4/26;               5/26;               4/26
       level3_1;               2/26;               1/26;               1/26;               1/26;               0/26
       level3_2;               2/26;               3/26;               0/26;               2/26;               2/26
       level4_1;               0/26;               0/26;               1/26;               1/26;               0/26
       level4_2;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_1;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_2;               0/26;               1/26;               1/26;               1/26;               1/26
       level5_3;               1/26;               0/26;               0/26;               2/26;               1/26
       level5_4;               0/26;               0/26;               0/26;               0/26;               0/26
 Iteration;              Sigmoid;    HyperbolicTangens;            Sinusoida;         Cosinusoidal;          Function001
         1;   0,0320998059422079;   0,0329417563151362;   0,0370252217821577;   0,0353449023531495;   0,0315057577629586
         2;   0,0212100529608663;   0,0191042829140878;   0,0283838868238886;   0,0224107622922922;   0,0193683314443911
         3;   0,0142114106731169;   0,0129233237964398;   0,0162524933043459;   0,0143569213504344;   0,0097019870897455
         4;   0,0114700413137153;   0,0121334304727597;   0,0114013552348083;   0,0115061544832435;                    0
         5;   0,0107159212943987;   0,0114976565256827;  0,00939568004446276;   0,0102952713140087;                    0
         6;  0,00822369193747002;   0,0103186677398141;                    0;  0,00969708122820532;                    0
         7;                    0;  0,00781180713917556;                    0;                    0;                    0
