           Func;            Sigmoid;  HyperbolicTangens;          Sinusoida;       Cosinusoidal;        Function001
           Test;               0/26;               0/26;               0/26;               0/26;               0/26
       level2_1;               3/26;               3/26;               3/26;               2/26;               2/26
       level2_2;               4/26;               3/26;               4/26;               4/26;               5/26
       level3_1;               1/26;               0/26;               1/26;               1/26;               2/26
       level3_2;               0/26;               1/26;               2/26;               0/26;               0/26
       level4_1;               0/26;               0/26;               0/26;               0/26;               0/26
       level4_2;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_1;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_2;               1/26;               1/26;               1/26;               1/26;               1/26
       level5_3;               0/26;               1/26;               0/26;               0/26;               0/26
       level5_4;               0/26;               0/26;               0/26;               0/26;               0/26
 Iteration;              Sigmoid;    HyperbolicTangens;            Sinusoida;         Cosinusoidal;          Function001
         1;   0,0303410627245175;   0,0291185010022134;   0,0291520036294438;   0,0277559088120631;   0,0319026629724546
         2;   0,0170403820691964;   0,0150403283633127;    0,015466506410486;   0,0157503167407839;    0,017925943631875
         3;    0,010340528813914;  0,00926835036995688;   0,0101808459372498;  0,00950171684310586;   0,0114144733288369
         4;  0,00778040930358815;                    0;  0,00851903967521861;                    0;  0,00910383331042224
