           Func;            Sigmoid;  HyperbolicTangens;          Sinusoida;       Cosinusoidal;        Function001
           Test;               1/26;               0/26;               0/26;               0/26;               0/26
       level2_1;               3/26;               4/26;               1/26;               1/26;               3/26
       level2_2;               3/26;               4/26;               4/26;               2/26;               4/26
       level3_1;               2/26;               2/26;               2/26;               0/26;               0/26
       level3_2;               2/26;               1/26;               2/26;               2/26;               2/26
       level4_1;               1/26;               0/26;               1/26;               0/26;               2/26
       level4_2;               0/26;               0/26;               0/26;               0/26;               1/26
       level5_1;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_2;               0/26;               1/26;               1/26;               1/26;               0/26
       level5_3;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_4;               0/26;               0/26;               0/26;               0/26;               0/26
 Iteration;              Sigmoid;    HyperbolicTangens;            Sinusoida;         Cosinusoidal;          Function001
         1;   0,0349551926170874;   0,0347346810494635;   0,0353844586242126;   0,0350512321412173;   0,0356861010302997
         2;   0,0285386632853621;   0,0283562770207029;   0,0280612923063804;   0,0280229620278202;   0,0314212191156924
         3;    0,022878603766384;   0,0216763816778006;   0,0206204106429407;   0,0215391294970214;   0,0258974634539636
         4;   0,0183461184497972;   0,0167531666462985;   0,0152501953357618;   0,0166230856186433;   0,0207945254919261
         5;   0,0153781380600964;   0,0132409798046662;   0,0120733667366632;   0,0133893559054886;   0,0171015027314226
         6;   0,0131496892519225;    0,010717073996031;   0,0100789435325357;    0,010819242217087;   0,0144028526055762
         7;   0,0116448029334779;   0,0088902426278596;  0,00864581028353819;  0,00892701738222917;   0,0122294777062196
         8;   0,0108955726296526;                    0;                    0;                    0;   0,0103095385283416
         9;   0,0103985177993474;                    0;                    0;                    0;  0,00875785939317687
        10;   0,0100810897629018;                    0;                    0;                    0;                    0
        11;  0,00985918423460686;                    0;                    0;                    0;                    0
