           Func;            Sigmoid;  HyperbolicTangens;          Sinusoida;       Cosinusoidal;        Function001
           Test;               1/26;               1/26;               1/26;               0/26;               1/26
       level2_1;               8/26;               8/26;               7/26;               6/26;               6/26
       level2_2;              13/26;              14/26;              10/26;              10/26;              12/26
       level3_1;               5/26;               7/26;               6/26;               3/26;               6/26
       level3_2;               6/26;               5/26;               6/26;               2/26;               4/26
       level4_1;               3/26;               3/26;               3/26;               0/26;               2/26
       level4_2;               2/26;               6/26;               4/26;               5/26;               1/26
       level5_1;               0/26;               1/26;               1/26;               0/26;               0/26
       level5_2;               1/26;               1/26;               2/26;               0/26;               1/26
       level5_3;               2/26;               1/26;               2/26;               1/26;               1/26
       level5_4;               0/26;               1/26;               1/26;               0/26;               1/26
 Iteration;              Sigmoid;    HyperbolicTangens;            Sinusoida;         Cosinusoidal;          Function001
         1;   0,0419816405122393;   0,0419816317412599;   0,0419729759848491;   0,0419784622626851;   0,0420021419678457
         2;   0,0409705503536293;   0,0419839349861833;   0,0406715816703233;   0,0419220497048623;   0,0423254095644387
         3;   0,0397241209417161;   0,0424728511676909;   0,0455882413729289;   0,0404443505771773;   0,0454215006127128
         4;    0,041507295514734;   0,0417564867730725;   0,0459335816001559;   0,0383071821447468;   0,0455879719024826
         5;   0,0471481321506227;   0,0424256470019641;   0,0474031033673569;   0,0421130763986582;   0,0433529956077871
         6;   0,0469611502916851;   0,0419649045905769;   0,0478561203938499;   0,0437550301397342;   0,0407227711897489
         7;   0,0392704431910472;   0,0409259504418156;   0,0481778185139187;   0,0419738651323887;   0,0399021287109858
         8;   0,0345995366642591;   0,0400333832578779;   0,0485785975870534;   0,0378989323814883;   0,0354160765888448
         9;   0,0341636658493365;    0,030288789747828;   0,0480982533486201;   0,0341941688866223;   0,0360886432142587
        10;   0,0325656310705108;   0,0347049040860411;   0,0446271960973242;   0,0323098027011697;   0,0325890501589837
        11;   0,0348315932355359;   0,0294394841294598;   0,0477433767404354;   0,0300194720898362;   0,0330190227872593
        12;   0,0274411963374933;   0,0268538022022024;   0,0433012374454536;   0,0299543132366179;   0,0325817439125622
        13;   0,0276361850076613;    0,025535846683015;   0,0489298392015514;   0,0187231073401204;   0,0308119673550741
