Beta; Sigmoid; HyperbolicTangens; Sinusoida; Cosinusoidal; Function001
0,00999999977648258; 2; 2; 3; 5; 2
0,0599999986588955; 2; 2; 2; 2; 2
0,109999999403954; 1; 2; 1; 3; 1
0,159999996423721; 1; 2; 1; 3; 2
0,209999993443489; 2; 1; 2; 2; 2
0,259999990463257; 1; 1; 2; 0; 1
0,310000002384186; 1; 0; 0; 0; 1
0,360000014305115; 0; 1; 2; 0; 0
0,409999996423721; 1; 1; 1; 1; 2
0,46000000834465; 3; 3; 2; 1; 1
0,509999990463257; 2; 5; 4; 1; 1
0,560000002384186; 0; 6; 5; 6; 5
0,610000014305115; 6; 5; 6; 2; 4
0,660000026226044; 5; 4; 4; 7; 6
0,709999978542328; 2; 5; 6; 1; 4
0,759999990463257; 6; 7; 6; 9; 7
0,810000002384186; 7; 6; 5; 4; 6
0,860000014305115; 11; 7; 22; 18; 12
