Beta; Sigmoid; HyperbolicTangens; Sinusoida; Cosinusoidal; Function001
0,00999999977648258; 5; 4; 8; 10; 9
0,0599999986588955; 6; 5; 3; 6; 4
0,109999999403954; 4; 6; 4; 5; 4
0,159999996423721; 7; 4; 3; 2; 5
0,209999993443489; 3; 4; 4; 2; 4
0,259999990463257; 5; 1; 4; 6; 2
0,310000002384186; 4; 6; 3; 3; 4
0,360000014305115; 4; 3; 4; 4; 5
0,409999996423721; 4; 6; 5; 3; 2
0,46000000834465; 7; 7; 10; 6; 5
0,509999990463257; 8; 7; 12; 7; 9
0,560000002384186; 7; 13; 9; 16; 15
0,610000014305115; 13; 14; 10; 10; 12
0,660000026226044; 14; 9; 10; 17; 15
0,709999978542328; 13; 15; 12; 14; 16
0,759999990463257; 15; 16; 12; 11; 14
0,810000002384186; 10; 10; 11; 8; 10
0,860000014305115; 13; 11; 22; 22; 18
