           Func;            Sigmoid;  HyperbolicTangens;          Sinusoida;       Cosinusoidal;        Function001
           Test;               0/26;               0/26;               0/26;               0/26;               0/26
       level2_1;               3/26;               0/26;               2/26;               1/26;               3/26
       level2_2;               3/26;               6/26;               3/26;               4/26;               8/26
       level3_1;               1/26;               3/26;               0/26;               2/26;               2/26
       level3_2;               1/26;               0/26;               1/26;               2/26;               1/26
       level4_1;               0/26;               0/26;               0/26;               0/26;               0/26
       level4_2;               0/26;               0/26;               0/26;               0/26;               1/26
       level5_1;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_2;               1/26;               0/26;               1/26;               1/26;               1/26
       level5_3;               0/26;               0/26;               0/26;               0/26;               0/26
       level5_4;               0/26;               0/26;               0/26;               0/26;               0/26
 Iteration;              Sigmoid;    HyperbolicTangens;            Sinusoida;         Cosinusoidal;          Function001
         1;   0,0349887215916667;   0,0349706593672773;   0,0338681008276158;   0,0344103230213328;   0,0360637233576336
         2;   0,0292213883125845;   0,0276783957505933;   0,0268171684983145;   0,0271822240028621;   0,0311919437247913
         3;   0,0225271690085162;    0,020771489835827;   0,0197320868239747;   0,0213683126378532;   0,0259662093022401
         4;   0,0170876299618883;   0,0156158493182848;   0,0147066650910258;   0,0172046682984654;   0,0216740128232404
         5;   0,0131361814676922;   0,0126960593357428;   0,0114163725006111;   0,0139805725489362;   0,0182525298230253
         6;   0,0104390844589954;   0,0107726881738221;  0,00920432009336909;   0,0114205780197944;   0,0148515297223487
         7;   0,0085795008183895;  0,00922974980380017;                    0;  0,00950024871168222;   0,0120511725046212
         8;                    0;                    0;                    0;                    0;   0,0103377037958201
         9;                    0;                    0;                    0;                    0;  0,00900148399695548
