           Func;            Sigmoid;  HyperbolicTangens;          Sinusoida;       Cosinusoidal;        Function001
           Test;               1/26;               1/26;               3/26;               0/26;               1/26
       level2_1;               4/26;               7/26;               8/26;               5/26;              10/26
       level2_2;              14/26;              17/26;              15/26;              12/26;              13/26
       level3_1;               3/26;               5/26;               6/26;               1/26;               6/26
       level3_2;               3/26;               4/26;               4/26;               5/26;               7/26
       level4_1;               3/26;               4/26;               2/26;               0/26;               2/26
       level4_2;               8/26;               3/26;               9/26;               1/26;               1/26
       level5_1;               1/26;               0/26;               2/26;               0/26;               0/26
       level5_2;               1/26;               0/26;               3/26;               0/26;               1/26
       level5_3;               2/26;               2/26;               3/26;               0/26;               0/26
       level5_4;               0/26;               0/26;               2/26;               0/26;               0/26
 Iteration;              Sigmoid;    HyperbolicTangens;            Sinusoida;         Cosinusoidal;          Function001
         1;   0,0443555612836947;   0,0442037398541382;   0,0443548501173089;   0,0443592480299731;    0,044343950563349
         2;   0,0443556247101794;   0,0436737259168091;   0,0443548500139296;   0,0443605494412168;   0,0443404933315495
         3;   0,0443557064724396;   0,0495204145742026;   0,0443548500226081;   0,0443631845426174;   0,0443329206663044
         4;   0,0443558167226344;   0,0418156397844427;   0,0443548500317894;   0,0443722822442711;    0,044309032371537
         5;    0,044355975222749;   0,0496648401992043;   0,0443548500414753;   0,0432702268704045;   0,0437707230049497
         6;   0,0443562268650702;   0,0550240401035844;   0,0443548500516677;   0,0447012255670002;   0,0512403015848901
         7;    0,044356703309892;   0,0547994144629868;   0,0443548500623686;   0,0410455068078396;   0,0535687178003438
         8;   0,0443580673087759;   0,0520573784863732;   0,0443548500735801;   0,0478411576448576;   0,0541641920756903
         9;    0,044934210097489;    0,051687728172729;   0,0443548500853041;   0,0510302997858988;   0,0526225103169729
        10;   0,0439892574939718;   0,0516604692896806;   0,0443548500975426;   0,0530789920966011;   0,0534087524833027
        11;   0,0448133620725643;    0,054010214874479;   0,0443548501102979;   0,0480004202092394;   0,0537582206837469
        12;   0,0434469809948207;   0,0547073650297801;   0,0443548501235721;   0,0487749399093632;   0,0470353008305536
        13;   0,0480362073120341;   0,0546904591882833;   0,0443548501373672;   0,0471294920627571;   0,0495077146452257
        14;   0,0480457105707265;   0,0526101038818343;   0,0443548501516856;   0,0484414275187137;    0,049952627246576
        15;    0,048994852859296;   0,0589137217422068;   0,0443548501665295;   0,0474245600467536;   0,0508525333130983
        16;   0,0477685152325202;   0,0588303972773014;   0,0443548501819011;   0,0474839500963029;   0,0496248970780324
        17;   0,0481462738388808;   0,0589310582881338;   0,0443548501978029;   0,0474315780044437;   0,0456998129720414
        18;   0,0495711939124077;   0,0587920056299301;    0,044354850214237;   0,0476651899262705;   0,0509515074054529
        19;   0,0500892822109077;   0,0588143323991706;   0,0443548502312061;   0,0479390793325128;   0,0435206526064568
        20;   0,0488523155764557;   0,0588300148651797;   0,0443548502487124;   0,0477988483652588;   0,0517898061934152
        21;   0,0505688179636924;   0,0588427851390105;   0,0443548502667585;   0,0481187741494118;   0,0504224929606036
        22;   0,0492109492033192;    0,058853847450085;   0,0443548502853469;   0,0479138880801647;   0,0502771604647019
        23;   0,0505643391035693;   0,0588646137988648;   0,0443548503044801;   0,0479118743569348;   0,0524465850760168
        24;   0,0497260181793146;    0,058882886524506;   0,0443548503241606;   0,0479164157193727;   0,0495261297408993
        25;   0,0493949390529769;   0,0533188822557524;   0,0443548503443913;   0,0479195305699979;   0,0496942331996678
        26;   0,0504504796384306;   0,0497954740823105;   0,0443548503651748;     0,04792266880301;    0,052025665970256
        27;     0,05110178572879;   0,0503719559258185;   0,0443548503865137;   0,0479257296919866;   0,0381019040991774
        28;    0,044161148891156;   0,0516823176568011;   0,0443548504084108;   0,0479286559472911;    0,044930642403843
        29;   0,0487407123135724;    0,052160907561818;   0,0443548504308689;   0,0479313040959711;   0,0521509375688615
        30;   0,0508224481026027;    0,049234905496956;   0,0443548504538909;   0,0479400090966725;   0,0376563083170998
        31;   0,0487984444324408;   0,0472391690279974;   0,0443548504774797;   0,0479358147788934;   0,0478789353771854
        32;   0,0508355619905549;   0,0493680584174565;   0,0443548505016381;   0,0479396768879462;   0,0387339558822241
        33;   0,0509549238464387;   0,0490380055225616;   0,0443548505263691;   0,0479417333841629;    0,052017902539888
        34;   0,0506602665722253;   0,0500047844466864;   0,0443548505516759;   0,0479438232752208;   0,0515437156800877
        35;     0,04993136612041;   0,0434010456582371;   0,0443548505775613;   0,0479457549084766;   0,0522540890197843
        36;    0,045333370446127;   0,0534037655531278;   0,0443548506040286;   0,0479475027463821;   0,0431853987910748
        37;   0,0504060538039254;   0,0440235659631595;   0,0443548506310809;     0,04796737156279;   0,0439273275523404
